Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
6.0500        -451.9587    -454.3375       2.3789   296.8
6.1000        -451.9134    -454.0720       2.1586   269.3
6.1500        -451.6114    -453.9780       2.3665   295.3
6.2000        -450.9642    -453.7802       2.8160   351.4
6.2500        -451.7039    -453.8755       2.1716   271.0
6.3000        -451.6603    -453.9919       2.3316   290.9
6.3500        -452.1528    -454.3661       2.2134   276.2
6.4000        -452.0057    -454.3304       2.3247   290.1
6.4500        -451.6928    -454.0241       2.3312   290.9
6.5000        -451.9373    -454.1821       2.2448   280.1
6.5500        -452.0372    -454.1347       2.0975   261.7
6.6000        -451.3100    -454.0367       2.7267   340.2
6.6500        -451.8462    -454.1514       2.3051   287.6
6.7000        -451.7044    -453.8733       2.1688   270.6
6.7500        -451.6143    -453.7184       2.1041   262.6
6.8000        -451.8106    -454.0618       2.2512   280.9
6.8500        -452.0322    -454.2014       2.1692   270.7
6.9000        -451.6240    -454.0652       2.4412   304.6
6.9500        -451.2781    -453.9244       2.6464   330.2
7.0000        -451.1695    -453.6822       2.5126   313.5
7.0500        -451.1199    -453.6351       2.5152   313.8
7.1000        -451.6186    -453.9717       2.3531   293.6
7.1500        -451.1894    -454.0290       2.8396   354.3
7.2000        -451.3574    -453.5881       2.2307   278.3
7.2500        -451.3957    -454.0707       2.6750   333.8
7.3000        -451.2416    -453.8422       2.6006   324.5
7.3500        -451.1177    -453.6825       2.5648   320.0
7.4000        -451.2510    -453.8523       2.6013   324.6
7.4500        -451.7136    -454.1613       2.4477   305.4
7.5000        -451.7201    -454.0393       2.3192   289.4
7.5500        -451.4758    -454.2769       2.8010   349.5
7.6000        -451.7345    -454.0610       2.3266   290.3
7.6500        -451.4890    -454.0682       2.5791   321.8
7.7000        -452.0300    -454.2393       2.2092   275.7
7.7500        -451.9067    -454.1860       2.2793   284.4
7.8000        -451.6563    -454.1986       2.5423   317.2
7.8500        -451.5789    -454.2600       2.6812   334.6
7.9000        -451.3196    -454.0258       2.7062   337.7
7.9500        -451.4976    -454.0238       2.5261   315.2
8.0000        -451.3213    -453.9479       2.6266   327.7
8.0500        -451.7844    -454.1594       2.3750   296.4
8.1000        -451.1156    -454.1281       3.0126   375.9
8.1500        -451.1880    -453.8883       2.7003   336.9
8.2000        -450.9305    -453.6422       2.7117   338.4
8.2500        -451.5082    -453.9541       2.4459   305.2
8.3000        -451.1908    -453.7665       2.5757   321.4
8.3500        -451.0841    -453.5138       2.4297   303.2
8.4000        -450.8235    -453.3389       2.5155   313.9
8.4500        -450.9054    -453.5431       2.6377   329.1
8.5000        -451.7667    -454.4229       2.6562   331.4
8.5500        -451.7763    -453.9709       2.1946   273.8
8.6000        -451.4837    -453.8552       2.3715   295.9
8.6500        -451.5091    -454.0641       2.5550   318.8
8.7000        -451.8506    -453.8518       2.0012   249.7
8.7500        -452.0877    -454.5621       2.4744   308.8
8.8000        -451.8744    -454.3875       2.5131   313.6
8.8500        -451.4624    -454.2027       2.7403   341.9
8.9000        -451.4295    -454.0317       2.6022   324.7
8.9500        -451.2971    -453.7567       2.4596   306.9
9.0000        -451.5837    -454.0362       2.4525   306.0
9.0500        -451.5998    -453.8312       2.2314   278.4
9.1000        -451.6137    -453.8816       2.2678   283.0
9.1500        -451.8154    -454.2932       2.4777   309.2
9.2000        -451.7591    -454.0637       2.3046   287.6
9.2500        -452.0222    -454.3090       2.2868   285.3
9.3000        -451.9887    -454.3214       2.3327   291.1
9.3500        -451.5780    -454.0099       2.4319   303.5
9.4000        -451.7877    -454.0620       2.2744   283.8
9.4500        -451.5668    -453.8903       2.3235   289.9
9.5000        -451.1575    -453.8047       2.6472   330.3
9.5500        -451.7285    -454.2900       2.5614   319.6
9.6000        -451.3864    -454.0517       2.6653   332.6
9.6500        -451.6283    -454.0623       2.4340   303.7
9.7000        -451.9385    -454.2986       2.3601   294.5
9.7500        -451.5209    -453.8615       2.3406   292.1
9.8000        -451.7190    -454.0590       2.3400   292.0
9.8500        -451.2509    -453.4317       2.1808   272.1
9.9000        -451.6268    -453.9174       2.2906   285.8
9.9500        -451.6385    -453.8197       2.1812   272.2
10.0000       -451.9101    -454.2940       2.3840   297.5
10.0500       -451.9475    -454.2131       2.2655   282.7
10.1000       -451.7624    -453.6728       1.9103   238.4
10.1500       -451.6127    -453.8239       2.2112   275.9
10.2000       -451.3513    -454.0760       2.7247   340.0
10.2500       -451.4189    -453.8101       2.3912   298.4
10.3000       -451.5455    -454.2276       2.6821   334.7
10.3500       -451.4427    -454.1586       2.7159   338.9
10.4000       -452.1460    -454.3023       2.1563   269.1
10.4500       -451.6345    -453.9365       2.3020   287.2
10.5000       -451.3802    -453.7812       2.4009   299.6
10.5500       -451.6696    -454.2888       2.6192   326.8
10.6000       -451.9734    -454.1125       2.1391   266.9
10.6500       -451.2725    -453.6221       2.3497   293.2
10.7000       -451.3467    -453.9280       2.5813   322.1
10.7500       -451.6708    -453.9531       2.2824   284.8
10.8000       -452.1179    -454.3571       2.2393   279.4
10.8500       -451.9262    -453.9370       2.0108   250.9
10.9000       -451.6352    -453.7473       2.1121   263.5
10.9500       -451.6418    -454.1313       2.4894   310.6
11.0000       -451.5134    -453.9972       2.4838   309.9
11.0500       -452.0153    -454.0468       2.0314   253.5
11.1000       -451.7533    -454.0817       2.3285   290.5
11.1500       -452.4252    -454.4081       1.9830   247.4
11.2000       -451.5150    -454.1543       2.6393   329.3
11.2500       -451.7652    -454.0739       2.3087   288.1
11.3000       -451.4377    -454.0372       2.5995   324.4
11.3500       -451.3863    -454.0937       2.7074   337.8
11.4000       -450.9049    -453.4940       2.5892   323.1
11.4500       -451.0426    -453.5704       2.5278   315.4
11.5000       -451.5410    -454.1577       2.6168   326.5
11.5500       -451.8957    -454.2009       2.3052   287.6
11.6000       -451.8587    -454.2293       2.3706   295.8
11.6500       -451.6105    -453.8748       2.2643   282.5
11.7000       -451.3689    -453.8043       2.4354   303.9
11.7500       -451.8317    -454.0732       2.2415   279.7
11.8000       -451.9045    -454.0296       2.1251   265.2
11.8500       -452.3206    -454.6442       2.3236   289.9
11.9000       -451.7250    -454.2514       2.5264   315.2
11.9500       -451.3823    -454.3068       2.9245   364.9
12.0000       -451.0389    -453.7186       2.6797   334.4
12.0500       -451.0194    -453.3409       2.3214   289.7
12.1000       -451.2344    -453.5295       2.2951   286.4
12.1500       -451.1099    -453.3775       2.2676   283.0
12.2000       -451.4411    -453.9600       2.5188   314.3
12.2500       -451.7387    -453.7461       2.0074   250.5
12.3000       -451.4536    -453.8268       2.3732   296.1
12.3500       -451.2130    -454.2040       2.9910   373.2
12.4000       -450.8591    -453.4521       2.5931   323.6
12.4500       -450.8698    -453.4509       2.5811   322.1
12.5000       -451.2343    -454.0784       2.8441   354.9
12.5500       -451.8143    -454.1270       2.3127   288.6
12.6000       -451.4519    -453.7900       2.3381   291.7
12.6500       -451.2563    -453.5884       2.3321   291.0
12.7000       -451.4620    -453.9562       2.4941   311.2
12.7500       -451.6875    -453.8630       2.1756   271.5
12.8000       -451.3992    -453.7498       2.3505   293.3
12.8500       -451.5874    -453.9637       2.3763   296.5
12.9000       -450.9775    -453.4594       2.4819   309.7
12.9500       -451.2775    -453.8246       2.5471   317.8
13.0000       -450.8368    -453.4919       2.6551   331.3
13.0500       -450.8198    -454.0284       3.2087   400.4
13.1000       -451.2318    -453.8811       2.6494   330.6
13.1500       -451.6633    -454.0293       2.3661   295.2
13.2000       -451.5720    -454.2135       2.6415   329.6
13.2500       -451.5430    -453.8444       2.3013   287.2
13.3000       -451.4029    -453.7978       2.3949   298.8
13.3500       -451.1314    -454.0258       2.8944   361.2
13.4000       -451.5556    -453.9479       2.3923   298.5
13.4500       -451.9566    -453.9666       2.0101   250.8
13.5000       -451.7083    -453.8983       2.1900   273.3
13.5500       -451.6760    -454.1047       2.4287   303.0
13.6000       -451.6005    -453.8487       2.2482   280.5
13.6500       -451.1899    -454.0010       2.8111   350.8
13.7000       -451.9178    -454.2058       2.2880   285.5
13.7500       -451.7923    -454.3387       2.5464   317.7
13.8000       -451.4432    -453.7741       2.3309   290.8
13.8500       -451.0440    -453.8796       2.8356   353.8
13.9000       -451.3709    -453.5365       2.1656   270.2
13.9500       -451.5883    -454.1576       2.5693   320.6
14.0000       -451.4838    -454.0218       2.5380   316.7
14.0500       -451.7326    -454.0446       2.3121   288.5
14.1000       -451.3771    -454.0136       2.6365   329.0
