#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.40e+01    3.36e+01      4.27e-01    4.27e-01      1.07e+00    1.06e+00    1.0e-03
      9      3.19e+01    3.26e+01      1.54e-01    1.53e-01      1.01e+00    1.03e+00    1.0e-03
     18      3.07e+01    3.08e+01      9.97e-03    1.13e-02      9.72e-01    9.74e-01    1.0e-03
     27      2.86e+01    3.02e+01      2.40e-01    2.42e-01      9.04e-01    9.55e-01    1.0e-03
     36      2.83e+01    2.94e+01      1.89e-01    1.89e-01      8.96e-01    9.28e-01    1.0e-03
     45      2.80e+01    2.84e+01      4.05e-01    4.06e-01      8.87e-01    8.98e-01    1.0e-03
     54      2.68e+01    2.75e+01      1.98e-01    2.00e-01      8.48e-01    8.70e-01    1.0e-03
     63      2.57e+01    2.66e+01      1.84e-02    1.82e-02      8.13e-01    8.40e-01    1.0e-03
     72      2.44e+01    2.55e+01      1.03e-01    1.02e-01      7.70e-01    8.05e-01    1.0e-03
     81      2.17e+01    2.22e+01      1.29e-01    1.28e-01      6.86e-01    7.02e-01    1.0e-03
     90      1.96e+01    2.00e+01      9.94e-02    1.02e-01      6.21e-01    6.32e-01    1.0e-03
     99      1.73e+01    1.83e+01      1.02e-01    1.08e-01      5.46e-01    5.77e-01    1.0e-03
    108      1.49e+01    1.54e+01      6.37e-02    6.93e-02      4.72e-01    4.87e-01    1.0e-03
    117      1.37e+01    1.35e+01      1.58e-01    1.61e-01      4.33e-01    4.27e-01    1.0e-03
    126      1.25e+01    1.29e+01      3.04e-01    3.10e-01      3.96e-01    4.08e-01    1.0e-03
    135      1.18e+01    1.19e+01      2.99e-01    3.03e-01      3.72e-01    3.76e-01    1.0e-03
    144      1.12e+01    1.13e+01      1.08e-01    1.13e-01      3.53e-01    3.57e-01    1.0e-03
    153      1.06e+01    1.07e+01      1.47e-01    1.49e-01      3.34e-01    3.37e-01    1.0e-03
    162      9.80e+00    1.02e+01      1.58e-01    1.62e-01      3.10e-01    3.22e-01    1.0e-03
    171      1.01e+01    1.01e+01      9.29e-02    9.57e-02      3.20e-01    3.21e-01    1.0e-03
    180      9.31e+00    9.40e+00      7.54e-02    7.77e-02      2.94e-01    2.97e-01    1.0e-03
    189      9.19e+00    9.08e+00      8.58e-02    8.88e-02      2.91e-01    2.87e-01    1.0e-03
    198      9.03e+00    8.81e+00      8.59e-02    8.73e-02      2.85e-01    2.78e-01    1.0e-03
    207      8.52e+00    8.75e+00      7.74e-02    8.07e-02      2.69e-01    2.77e-01    1.0e-03
    216      8.40e+00    8.56e+00      8.07e-02    8.21e-02      2.66e-01    2.71e-01    1.0e-03
    225      8.54e+00    8.49e+00      3.55e-02    3.83e-02      2.70e-01    2.68e-01    1.0e-03
    234      8.87e+00    8.71e+00      3.21e-02    3.05e-02      2.80e-01    2.75e-01    1.0e-03
    243      8.57e+00    8.63e+00      1.16e-01    1.19e-01      2.71e-01    2.73e-01    1.0e-03
    252      8.11e+00    8.03e+00      6.85e-02    7.10e-02      2.56e-01    2.54e-01    1.0e-03
    261      7.82e+00    7.89e+00      6.54e-02    6.78e-02      2.47e-01    2.49e-01    1.0e-03
    270      7.83e+00    7.82e+00      3.59e-03    4.87e-03      2.48e-01    2.47e-01    1.0e-03
    279      7.63e+00    7.55e+00      4.31e-02    4.60e-02      2.41e-01    2.39e-01    1.0e-03
    288      7.81e+00    7.67e+00      1.04e-02    9.39e-03      2.47e-01    2.42e-01    1.0e-03
    297      7.36e+00    7.51e+00      3.36e-02    3.65e-02      2.33e-01    2.38e-01    1.0e-03
    306      7.73e+00    7.75e+00      3.14e-03    3.64e-03      2.44e-01    2.45e-01    1.0e-03
    315      7.51e+00    7.50e+00      1.47e-02    1.72e-02      2.38e-01    2.37e-01    1.0e-03
    324      7.39e+00    7.43e+00      3.22e-02    3.47e-02      2.34e-01    2.35e-01    1.0e-03
    333      7.03e+00    7.09e+00      2.74e-03    3.33e-03      2.22e-01    2.24e-01    1.0e-03
    342      7.12e+00    7.15e+00      5.60e-03    4.41e-03      2.25e-01    2.26e-01    1.0e-03
    351      7.06e+00    7.10e+00      4.04e-02    4.27e-02      2.23e-01    2.24e-01    1.0e-03
    360      7.14e+00    7.11e+00      1.37e-02    1.23e-02      2.26e-01    2.25e-01    1.0e-03
    369      6.81e+00    6.79e+00      4.03e-03    5.95e-03      2.15e-01    2.15e-01    1.0e-03
    378      6.67e+00    6.79e+00      1.72e-02    1.46e-02      2.11e-01    2.15e-01    1.0e-03
    387      6.96e+00    6.85e+00      2.40e-02    2.21e-02      2.20e-01    2.17e-01    1.0e-03
    396      6.57e+00    6.51e+00      1.72e-02    1.55e-02      2.08e-01    2.06e-01    1.0e-03
    405      6.55e+00    6.56e+00      4.24e-02    4.36e-02      2.07e-01    2.07e-01    1.0e-03
    414      6.65e+00    6.42e+00      2.10e-02    1.91e-02      2.10e-01    2.03e-01    1.0e-03
    423      6.33e+00    6.35e+00      3.32e-02    3.43e-02      2.00e-01    2.01e-01    1.0e-03
    432      6.22e+00    6.33e+00      2.43e-02    2.26e-02      1.97e-01    2.00e-01    1.0e-03
    441      6.37e+00    6.22e+00      4.40e-02    4.20e-02      2.02e-01    1.97e-01    1.0e-03
    450      6.19e+00    6.24e+00      1.11e-02    8.95e-03      1.96e-01    1.97e-01    1.0e-03
    459      6.08e+00    6.09e+00      3.20e-02    3.10e-02      1.92e-01    1.92e-01    1.0e-03
    468      6.84e+00    6.96e+00      1.02e-02    1.26e-02      2.16e-01    2.20e-01    1.0e-03
    477      6.62e+00    6.77e+00      4.65e-02    4.84e-02      2.09e-01    2.14e-01    1.0e-03
