Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -651.163     -655.486        4.323   321.6
0.0500         -653.101     -659.254        6.153   457.7
0.1000         -653.936     -659.450        5.515   410.2
0.1500         -655.355     -659.888        4.533   337.2
0.2000         -655.294     -660.087        4.793   356.6
0.2500         -656.507     -660.440        3.933   292.6
0.3000         -657.009     -661.016        4.007   298.1
0.3500         -656.846     -660.788        3.942   293.2
0.4000         -656.907     -661.128        4.221   314.0
0.4500         -657.366     -661.143        3.777   281.0
0.5000         -657.776     -661.147        3.371   250.8
0.5500         -657.401     -661.282        3.881   288.7
0.6000         -657.206     -661.460        4.253   316.4
0.6500         -656.629     -660.467        3.837   285.4
0.7000         -655.732     -660.716        4.984   370.7
0.7500         -655.980     -660.424        4.445   330.6
0.8000         -655.814     -660.492        4.678   348.0
0.8500         -656.477     -660.990        4.513   335.7
0.9000         -656.009     -660.108        4.099   304.9
0.9500         -655.962     -660.103        4.142   308.1
1.0000         -656.531     -660.193        3.663   272.5
1.0500         -656.549     -661.054        4.505   335.1
1.1000         -656.627     -661.124        4.498   334.6
1.1500         -656.877     -660.812        3.935   292.7
1.2000         -657.294     -661.165        3.871   288.0
1.2500         -656.737     -661.230        4.492   334.2
1.3000         -657.346     -661.255        3.910   290.8
1.3500         -656.709     -660.999        4.290   319.1
1.4000         -656.072     -660.569        4.496   334.5
1.4500         -656.324     -660.613        4.289   319.0
1.5000         -656.727     -660.725        3.997   297.4
1.5500         -656.061     -660.513        4.452   331.2
1.6000         -656.404     -660.884        4.480   333.3
1.6500         -657.447     -660.772        3.325   247.3
1.7000         -657.658     -661.312        3.654   271.8
1.7500         -657.415     -661.359        3.944   293.4
1.8000         -657.089     -660.860        3.771   280.5
1.8500         -657.222     -660.839        3.617   269.1
1.9000         -656.558     -660.738        4.180   310.9
1.9500         -656.592     -660.543        3.951   293.9
2.0000         -656.961     -660.798        3.837   285.4
2.0500         -656.818     -660.618        3.800   282.7
2.1000         -656.990     -660.845        3.856   286.8
2.1500         -657.289     -661.093        3.805   283.0
2.2000         -655.843     -660.423        4.580   340.7
2.2500         -656.258     -660.684        4.426   329.3
2.3000         -656.778     -660.744        3.966   295.0
2.3500         -656.494     -660.461        3.967   295.1
2.4000         -657.411     -660.928        3.517   261.6
2.4500         -657.376     -660.827        3.452   256.8
2.5000         -657.158     -660.973        3.816   283.8
2.5500         -657.029     -661.177        4.148   308.6
2.6000         -657.124     -660.665        3.541   263.4
2.6500         -656.460     -660.106        3.646   271.2
2.7000         -656.771     -660.703        3.932   292.5
