#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.55e+01    3.28e+01      2.53e-01    2.46e-01      1.12e+00    1.04e+00    1.0e-03
     19      2.76e+01    2.64e+01      1.58e-01    1.61e-01      8.72e-01    8.35e-01    1.0e-03
     38      2.10e+01    2.35e+01      1.68e-01    1.74e-01      6.65e-01    7.42e-01    1.0e-03
     57      2.41e+01    2.21e+01      3.15e-02    3.07e-02      7.63e-01    6.98e-01    1.0e-03
     76      2.10e+01    2.04e+01      1.36e-01    1.36e-01      6.64e-01    6.47e-01    1.0e-03
     95      2.07e+01    1.83e+01      2.53e-01    2.49e-01      6.56e-01    5.78e-01    1.0e-03
    114      1.34e+01    1.41e+01      2.00e-01    1.97e-01      4.25e-01    4.46e-01    1.0e-03
    133      1.12e+01    1.11e+01      9.12e-03    8.95e-03      3.55e-01    3.50e-01    1.0e-03
    152      9.62e+00    9.82e+00      1.04e-01    1.02e-01      3.04e-01    3.11e-01    1.0e-03
    171      9.78e+00    9.23e+00      5.39e-02    5.38e-02      3.09e-01    2.92e-01    1.0e-03
    190      9.17e+00    8.54e+00      5.86e-02    5.68e-02      2.90e-01    2.70e-01    1.0e-03
    209      8.61e+00    7.82e+00      2.05e-02    2.42e-02      2.72e-01    2.47e-01    1.0e-03
    228      7.21e+00    7.61e+00      6.93e-03    6.32e-03      2.28e-01    2.41e-01    1.0e-03
    247      6.78e+00    7.39e+00      1.26e-02    1.16e-02      2.14e-01    2.34e-01    1.0e-03
    266      7.12e+00    7.15e+00      4.39e-03    5.47e-03      2.25e-01    2.26e-01    1.0e-03
    285      6.40e+00    6.95e+00      1.54e-02    1.60e-02      2.02e-01    2.20e-01    1.0e-03
    304      6.27e+00    6.64e+00      7.21e-03    8.47e-03      1.98e-01    2.10e-01    1.0e-03
    323      6.21e+00    6.66e+00      1.47e-02    1.37e-02      1.96e-01    2.11e-01    1.0e-03
    342      6.64e+00    6.55e+00      2.60e-02    2.59e-02      2.10e-01    2.07e-01    1.0e-03
    361      6.77e+00    6.45e+00      1.10e-02    9.32e-03      2.14e-01    2.04e-01    1.0e-03
    380      5.91e+00    6.32e+00      3.35e-02    3.33e-02      1.87e-01    2.00e-01    1.0e-03
    399      5.88e+00    5.92e+00      3.67e-02    3.75e-02      1.86e-01    1.87e-01    1.0e-03
    418      6.25e+00    5.82e+00      2.41e-02    2.55e-02      1.98e-01    1.84e-01    1.0e-03
    437      5.16e+00    5.62e+00      1.53e-02    1.56e-02      1.63e-01    1.78e-01    1.0e-03
    456      5.13e+00    5.58e+00      4.19e-03    3.13e-03      1.62e-01    1.76e-01    1.0e-03
    475      5.35e+00    5.62e+00      3.58e-02    3.45e-02      1.69e-01    1.78e-01    1.0e-03
    494      4.95e+00    5.33e+00      2.16e-02    2.35e-02      1.56e-01    1.68e-01    1.0e-03
    513      5.74e+00    5.30e+00      2.17e-02    2.04e-02      1.82e-01    1.68e-01    1.0e-03
    532      4.79e+00    5.11e+00      3.46e-02    3.38e-02      1.51e-01    1.62e-01    1.0e-03
    551      5.11e+00    5.30e+00      1.77e-02    1.84e-02      1.62e-01    1.68e-01    1.0e-03
    570      4.48e+00    4.85e+00      3.75e-02    3.72e-02      1.42e-01    1.53e-01    1.0e-03
