epoch,lr_schedule,step,test_energy_mae,test_energy_rmse,test_forces_mae,test_forces_rmse,test_loss,train_energy_mae,train_energy_rmse,train_forces_mae,train_forces_rmse,train_loss,val_energy_mae,val_energy_rmse,val_forces_mae,val_forces_rmse,val_loss
33,,339,,,,,,,,,,,0.32335007190704346,0.46299660205841064,0.13906614482402802,0.1812278777360916,0.0346587672829628
,0.001,340,,,,,,,,,,,,,,,
34,,349,,,,,,0.2861793339252472,0.3495847284793854,0.13506145775318146,0.17478418350219727,0.03146611154079437,,,,,
34,,349,,,,,,,,,,,0.31668582558631897,0.4585771858692169,0.13676419854164124,0.17832233011722565,0.03358379751443863
,0.001,350,,,,,,,,,,,,,,,
35,,359,,,,,,,,,,,0.3162260353565216,0.453416645526886,0.1345175951719284,0.1755303144454956,0.03255864605307579
,0.001,360,,,,,,,,,,,,,,,
36,,369,,,,,,,,,,,0.3083035349845886,0.4477042853832245,0.13256748020648956,0.17302167415618896,0.03164152801036835
,0.001,370,,,,,,,,,,,,,,,
37,,379,,,,,,,,,,,0.3084350824356079,0.44507595896720886,0.13077527284622192,0.17076043784618378,0.030848465859889984
,0.001,380,,,,,,,,,,,,,,,
38,,389,,,,,,,,,,,0.3100411593914032,0.441983163356781,0.129216730594635,0.16874031722545624,0.030142053961753845
,0.001,390,,,,,,,,,,,,,,,
39,,399,,,,,,0.3417056202888489,0.47307226061820984,0.12138291448354721,0.15741069614887238,0.026768319308757782,,,,,
39,,399,,,,,,,,,,,0.310403972864151,0.4394058287143707,0.12762705981731415,0.16683705151081085,0.02948703058063984
,0.001,400,,,,,,,,,,,,,,,
40,,409,,,,,,,,,,,0.30811619758605957,0.4358636736869812,0.12627437710762024,0.1651047319173813,0.02888675220310688
,0.001,410,,,,,,,,,,,,,,,
41,,419,,,,,,,,,,,0.30078211426734924,0.43081146478652954,0.12496970593929291,0.16342197358608246,0.02829566039144993
,0.001,420,,,,,,,,,,,,,,,
42,,429,,,,,,,,,,,0.3004770278930664,0.42858660221099854,0.1237470731139183,0.16192440688610077,0.027794182300567627
,0.001,430,,,,,,,,,,,,,,,
43,,439,,,,,,,,,,,0.30258405208587646,0.4259529709815979,0.12265755981206894,0.16054672002792358,0.02733185514807701
,0.001,440,,,,,,,,,,,,,,,
44,,449,,,,,,0.20801334083080292,0.25127530097961426,0.118088498711586,0.15291890501976013,0.02378174290060997,,,,,
44,,449,,,,,,,,,,,0.29796913266181946,0.421313613653183,0.12155097723007202,0.1591576784849167,0.026852911338210106
,0.001,450,,,,,,,,,,,,,,,
45,,459,,,,,,,,,,,0.29377231001853943,0.41680216789245605,0.12052956223487854,0.1578531563282013,0.026405680924654007
,0.001,460,,,,,,,,,,,,,,,
46,,469,,,,,,,,,,,0.2956034541130066,0.41527259349823,0.11944606155157089,0.1564772129058838,0.025964779779314995
,0.001,470,,,,,,,,,,,,,,,
47,,479,,,,,,,,,,,0.2924412488937378,0.4120521545410156,0.11851281672716141,0.15525716543197632,0.025561613962054253
,0.001,480,,,,,,,,,,,,,,,
48,,489,,,,,,,,,,,0.2884919047355652,0.4081125557422638,0.11763650923967361,0.15417489409446716,0.02519775927066803
,0.001,490,,,,,,,,,,,,,,,
49,,499,,,,,,0.27117863297462463,0.4856027066707611,0.11188648641109467,0.14524833858013153,0.023244209587574005,,,,,
49,,499,,,,,,,,,,,0.2876708507537842,0.4057108759880066,0.1167936697602272,0.15307608246803284,0.0248439759016037
,0.001,500,,,,,,,,,,,,,,,
50,,509,,,,,,,,,,,0.2837468981742859,0.4016529619693756,0.11592449247837067,0.15195989608764648,0.024474142119288445
,0.001,510,,,,,,,,,,,,,,,
51,,519,,,,,,,,,,,0.2835066020488739,0.399556428194046,0.11513794213533401,0.15094147622585297,0.02415194734930992
,0.001,520,,,,,,,,,,,,,,,
52,,529,,,,,,,,,,,0.28137701749801636,0.39642444252967834,0.11437733471393585,0.14996519684791565,0.023836186155676842
,0.001,530,,,,,,,,,,,,,,,
53,,539,,,,,,,,,,,0.27704548835754395,0.3925146460533142,0.1136750653386116,0.1490434855222702,0.023532498627901077
,0.001,540,,,,,,,,,,,,,,,
54,,549,,,,,,0.24902872741222382,0.3221208453178406,0.106160007417202,0.13708840310573578,0.019642915576696396,,,,,
54,,549,,,,,,,,,,,0.2744612693786621,0.388641357421875,0.11296504735946655,0.14811718463897705,0.023229733109474182
,0.001,550,,,,,,,,,,,,,,,
55,,559,,,,,,,,,,,0.2735591232776642,0.385906457901001,0.11225428432226181,0.14722682535648346,0.022948220372200012
,0.001,560,,,,,,,,,,,,,,,
56,,569,,,,,,,,,,,0.26951494812965393,0.38276928663253784,0.11155620217323303,0.14634643495082855,0.022668231278657913
,0.001,570,,,,,,,,,,,,,,,
57,,579,,,,,,,,,,,0.26867663860321045,0.38024967908859253,0.11090327799320221,0.14553040266036987,0.022413203492760658
,0.001,580,,,,,,,,,,,,,,,
58,,589,,,,,,,,,,,0.2653369903564453,0.3766380846500397,0.1102992445230484,0.1447177529335022,0.022152362391352654
,0.001,590,,,,,,,,,,,,,,,
59,,599,,,,,,0.31478601694107056,0.3568708896636963,0.1014820784330368,0.12960441410541534,0.01790289767086506,,,,,
59,,599,,,,,,,,,,,0.262826532125473,0.3730714023113251,0.10963094234466553,0.14386697113513947,0.0218825526535511
,0.001,600,,,,,,,,,,,,,,,
60,,609,,,,,,,,,,,0.26127123832702637,0.3703000843524933,0.10898974537849426,0.14304117858409882,0.0216273944824934
,0.001,610,,,,,,,,,,,,,,,
61,,619,,,,,,,,,,,0.2578123211860657,0.36688539385795593,0.10836571455001831,0.14225929975509644,0.021381380036473274
,0.001,620,,,,,,,,,,,,,,,
62,,629,,,,,,,,,,,0.2568137049674988,0.36466991901397705,0.10774288326501846,0.14147482812404633,0.021144818514585495
,0.001,630,,,,,,,,,,,,,,,
63,,639,,,,,,,,,,,0.2536143362522125,0.3614068329334259,0.10714063048362732,0.14077316224575043,0.020925061777234077
,0.001,640,,,,,,,,,,,,,,,
64,,649,,,,,,0.2997262477874756,0.3421628475189209,0.09837851673364639,0.12559163570404053,0.016786279156804085,,,,,
64,,649,,,,,,,,,,,0.2538079023361206,0.3600333034992218,0.10660375654697418,0.14013858139514923,0.020738670602440834
,0.001,650,,,,,,,,,,,,,,,
65,,659,,,,,,,,,,,0.2501234710216522,0.356466144323349,0.10606338828802109,0.1394479125738144,0.020521944388747215
,0.001,660,,,,,,,,,,,,,,,
66,,669,,,,,,,,,,,0.24905253946781158,0.35406577587127686,0.10553612560033798,0.13880151510238647,0.020326830446720123
,0.001,670,,,,,,,,,,,,,,,
67,,679,,,,,,,,,,,0.24673722684383392,0.3519015610218048,0.10497158020734787,0.1381237655878067,0.02012573927640915
,0.001,680,,,,,,,,,,,,,,,
68,,689,,,,,,,,,,,0.2430037260055542,0.3484750986099243,0.10438622534275055,0.13739073276519775,0.01990179903805256
,0.001,690,,,,,,,,,,,,,,,
69,,699,,,,,,0.41999778151512146,0.46010440587997437,0.1031390130519867,0.1317758858203888,0.019308198243379593,,,,,
