#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
    540      5.75e+00    6.04e+00      4.72e-02    4.82e-02      1.82e-01    1.91e-01    1.0e-03
    549      6.39e+00    5.96e+00      2.59e-02    2.46e-02      2.02e-01    1.88e-01    1.0e-03
    558      5.39e+00    5.79e+00      3.22e-03    3.53e-03      1.70e-01    1.83e-01    1.0e-03
    567      5.80e+00    5.77e+00      2.18e-02    2.05e-02      1.83e-01    1.83e-01    1.0e-03
    576      6.01e+00    5.54e+00      2.22e-03    2.07e-03      1.90e-01    1.75e-01    1.0e-03
    585      6.62e+00    6.05e+00      1.98e-02    2.12e-02      2.09e-01    1.91e-01    1.0e-03
    594      5.73e+00    5.97e+00      2.50e-02    2.64e-02      1.81e-01    1.89e-01    1.0e-03
    603      6.89e+00    6.19e+00      1.88e-02    1.90e-02      2.18e-01    1.96e-01    1.0e-03
    612      6.07e+00    6.00e+00      2.70e-02    2.78e-02      1.92e-01    1.90e-01    1.0e-03
    621      5.98e+00    5.49e+00      1.13e-02    1.23e-02      1.89e-01    1.74e-01    1.0e-03
    630      5.44e+00    5.60e+00      6.93e-03    7.64e-03      1.72e-01    1.77e-01    1.0e-03
    639      5.91e+00    5.53e+00      1.27e-02    1.31e-02      1.87e-01    1.75e-01    1.0e-03
    648      5.92e+00    5.57e+00      2.60e-02    2.51e-02      1.87e-01    1.76e-01    1.0e-03
    657      6.13e+00    6.09e+00      2.99e-02    2.96e-02      1.94e-01    1.93e-01    1.0e-03
    666      6.72e+00    5.56e+00      4.96e-02    4.70e-02      2.12e-01    1.76e-01    1.0e-03
    675      5.61e+00    5.43e+00      4.92e-02    5.01e-02      1.77e-01    1.72e-01    1.0e-03
    684      5.83e+00    5.28e+00      8.49e-03    9.66e-03      1.84e-01    1.67e-01    1.0e-03
    693      6.02e+00    5.74e+00      2.25e-02    2.23e-02      1.91e-01    1.82e-01    1.0e-03
    702      6.15e+00    6.04e+00      7.44e-03    6.10e-03      1.95e-01    1.91e-01    1.0e-03
    711      5.46e+00    5.64e+00      4.14e-02    4.01e-02      1.72e-01    1.78e-01    1.0e-03
    720      4.81e+00    5.61e+00      6.74e-02    6.71e-02      1.52e-01    1.77e-01    1.0e-03
    729      4.94e+00    5.41e+00      1.34e-02    1.26e-02      1.56e-01    1.71e-01    1.0e-03
    738      4.78e+00    5.32e+00      3.20e-02    3.22e-02      1.51e-01    1.68e-01    1.0e-03
    747      5.35e+00    5.21e+00      1.99e-02    2.11e-02      1.69e-01    1.65e-01    1.0e-03
    756      5.28e+00    5.32e+00      5.01e-03    6.62e-03      1.67e-01    1.68e-01    1.0e-03
    765      6.14e+00    5.37e+00      7.13e-03    6.32e-03      1.94e-01    1.70e-01    1.0e-03
    774      4.91e+00    5.17e+00      2.17e-02    2.01e-02      1.55e-01    1.64e-01    1.0e-03
    783      4.92e+00    5.28e+00      2.86e-02    3.01e-02      1.56e-01    1.67e-01    1.0e-03
    792      5.18e+00    5.48e+00      2.32e-02    2.36e-02      1.64e-01    1.73e-01    1.0e-03
    801      6.45e+00    5.27e+00      1.57e-02    1.29e-02      2.04e-01    1.67e-01    1.0e-03
    810      4.98e+00    5.28e+00      2.91e-02    3.12e-02      1.57e-01    1.67e-01    1.0e-03
    819      5.76e+00    5.41e+00      4.13e-02    4.33e-02      1.82e-01    1.71e-01    1.0e-03
    828      6.66e+00    6.72e+00      5.71e-02    5.73e-02      2.11e-01    2.13e-01    1.0e-03
    837      5.79e+00    5.18e+00      8.50e-02    8.51e-02      1.83e-01    1.64e-01    1.0e-03
    846      4.74e+00    5.29e+00      6.92e-02    6.74e-02      1.50e-01    1.67e-01    1.0e-03
    855      5.54e+00    5.16e+00      4.77e-02    4.70e-02      1.75e-01    1.63e-01    1.0e-03
    864      5.33e+00    5.17e+00      1.58e-03    1.89e-03      1.68e-01    1.63e-01    1.0e-03
    873      5.13e+00    5.34e+00      1.60e-02    1.74e-02      1.62e-01    1.69e-01    1.0e-03
    882      5.11e+00    5.31e+00      1.00e-02    9.58e-03      1.62e-01    1.68e-01    1.0e-03
    891      5.10e+00    5.01e+00      1.14e-02    1.23e-02      1.61e-01    1.58e-01    1.0e-03
    900      4.93e+00    5.17e+00      1.19e-02    1.13e-02      1.56e-01    1.63e-01    1.0e-03
    909      4.82e+00    5.34e+00      2.10e-02    2.05e-02      1.52e-01    1.69e-01    1.0e-03
    918      5.47e+00    5.36e+00      5.50e-03    5.53e-03      1.73e-01    1.69e-01    1.0e-03
    927      5.23e+00    5.00e+00      1.36e-02    1.38e-02      1.65e-01    1.58e-01    1.0e-03
    936      5.98e+00    5.33e+00      3.27e-02    3.35e-02      1.89e-01    1.69e-01    1.0e-03
    945      5.15e+00    5.07e+00      3.45e-02    3.47e-02      1.63e-01    1.60e-01    1.0e-03
    954      4.91e+00    5.06e+00      4.87e-02    4.89e-02      1.55e-01    1.60e-01    1.0e-03
    963      5.07e+00    5.37e+00      3.88e-02    4.02e-02      1.60e-01    1.70e-01    1.0e-03
    972      6.28e+00    5.06e+00      2.03e-02    2.25e-02      1.99e-01    1.60e-01    1.0e-03
    981      4.66e+00    4.99e+00      2.31e-02    2.34e-02      1.47e-01    1.58e-01    1.0e-03
    990      4.99e+00    5.08e+00      3.45e-03    2.49e-03      1.58e-01    1.61e-01    1.0e-03
    999      5.21e+00    4.85e+00      1.92e-02    1.96e-02      1.65e-01    1.53e-01    1.0e-03
   1008      5.41e+00    4.93e+00      2.69e-02    2.80e-02      1.71e-01    1.56e-01    1.0e-03
