#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.05e+01    3.17e+01      4.42e-01    4.45e-01      9.64e-01    1.00e+00    1.0e-03
      9      2.95e+01    3.03e+01      8.77e-02    9.00e-02      9.32e-01    9.59e-01    1.0e-03
     18      2.83e+01    2.91e+01      6.24e-02    6.51e-02      8.96e-01    9.21e-01    1.0e-03
     27      2.85e+01    2.81e+01      4.01e-02    4.08e-02      9.01e-01    8.90e-01    1.0e-03
     36      2.56e+01    2.77e+01      3.07e-02    3.13e-02      8.08e-01    8.75e-01    1.0e-03
     45      2.41e+01    2.65e+01      6.88e-02    7.19e-02      7.63e-01    8.38e-01    1.0e-03
     54      2.36e+01    2.50e+01      5.77e-02    5.77e-02      7.47e-01    7.90e-01    1.0e-03
     63      2.14e+01    2.31e+01      1.91e-02    1.85e-02      6.76e-01    7.29e-01    1.0e-03
     72      2.10e+01    2.07e+01      1.81e-01    1.76e-01      6.63e-01    6.55e-01    1.0e-03
     81      1.89e+01    1.85e+01      2.53e-01    2.52e-01      5.98e-01    5.84e-01    1.0e-03
     90      1.48e+01    1.67e+01      5.71e-03    1.37e-02      4.69e-01    5.28e-01    1.0e-03
     99      1.48e+01    1.51e+01      8.71e-02    8.94e-02      4.67e-01    4.77e-01    1.0e-03
    108      1.36e+01    1.36e+01      1.58e-01    1.57e-01      4.29e-01    4.31e-01    1.0e-03
    117      1.15e+01    1.24e+01      1.09e-01    1.11e-01      3.65e-01    3.91e-01    1.0e-03
    126      1.25e+01    1.26e+01      1.61e-01    1.54e-01      3.96e-01    3.97e-01    1.0e-03
    135      1.08e+01    1.13e+01      1.03e-01    1.04e-01      3.41e-01    3.58e-01    1.0e-03
    144      1.09e+01    1.04e+01      1.15e-02    1.23e-02      3.46e-01    3.29e-01    1.0e-03
    153      9.79e+00    1.02e+01      1.18e-01    1.21e-01      3.09e-01    3.24e-01    1.0e-03
    162      9.27e+00    9.61e+00      3.02e-02    2.64e-02      2.93e-01    3.04e-01    1.0e-03
    171      8.70e+00    9.30e+00      4.57e-02    4.74e-02      2.75e-01    2.94e-01    1.0e-03
    180      9.17e+00    9.17e+00      1.25e-02    1.20e-02      2.90e-01    2.90e-01    1.0e-03
    189      9.45e+00    8.80e+00      2.66e-02    3.00e-02      2.99e-01    2.78e-01    1.0e-03
    198      8.49e+00    8.78e+00      6.46e-02    6.06e-02      2.68e-01    2.78e-01    1.0e-03
    207      9.40e+00    8.45e+00      4.16e-02    4.43e-02      2.97e-01    2.67e-01    1.0e-03
    216      8.52e+00    8.22e+00      2.46e-02    2.19e-02      2.69e-01    2.60e-01    1.0e-03
    225      8.34e+00    8.36e+00      1.74e-02    1.71e-02      2.64e-01    2.64e-01    1.0e-03
    234      8.49e+00    8.52e+00      1.18e-01    1.19e-01      2.68e-01    2.69e-01    1.0e-03
    243      8.01e+00    8.24e+00      3.08e-02    3.42e-02      2.53e-01    2.60e-01    1.0e-03
    252      7.30e+00    7.94e+00      4.24e-02    3.59e-02      2.31e-01    2.51e-01    1.0e-03
    261      7.01e+00    7.63e+00      1.87e-02    1.86e-02      2.22e-01    2.41e-01    1.0e-03
    270      7.37e+00    7.48e+00      3.37e-02    3.42e-02      2.33e-01    2.37e-01    1.0e-03
    279      7.23e+00    7.39e+00      8.49e-03    1.24e-02      2.29e-01    2.34e-01    1.0e-03
    288      8.00e+00    7.35e+00      5.20e-02    5.39e-02      2.53e-01    2.32e-01    1.0e-03
    297      7.55e+00    7.64e+00      1.97e-02    2.00e-02      2.39e-01    2.42e-01    1.0e-03
    306      7.04e+00    7.13e+00      2.97e-02    2.57e-02      2.23e-01    2.26e-01    1.0e-03
    315      7.66e+00    7.42e+00      2.15e-02    2.36e-02      2.42e-01    2.35e-01    1.0e-03
    324      8.24e+00    7.12e+00      2.65e-03    4.94e-03      2.60e-01    2.25e-01    1.0e-03
    333      7.15e+00    7.10e+00      1.37e-02    1.31e-02      2.26e-01    2.24e-01    1.0e-03
    342      6.73e+00    7.08e+00      8.04e-03    7.23e-03      2.13e-01    2.24e-01    1.0e-03
    351      6.67e+00    7.02e+00      7.53e-03    6.48e-03      2.11e-01    2.22e-01    1.0e-03
    360      6.55e+00    6.85e+00      3.44e-02    3.15e-02      2.07e-01    2.16e-01    1.0e-03
