epoch,lr_schedule,step,test_energy_mae,test_energy_rmse,test_forces_mae,test_forces_rmse,test_loss,train_energy_mae,train_energy_rmse,train_forces_mae,train_forces_rmse,train_loss,val_energy_mae,val_energy_rmse,val_forces_mae,val_forces_rmse,val_loss
,0.001,1425,,,,,,,,,,,,,,,
15,,1449,,,,,,0.6493169069290161,0.658697247505188,0.0777207463979721,0.10246334224939346,0.014732569456100464,,,,,
15,,1499,,,,,,0.910824179649353,0.9133634567260742,0.07659752666950226,0.10341016203165054,0.018929053097963333,,,,,
15,,1519,,,,,,,,,,,0.15068764984607697,0.19474107027053833,0.08579693734645844,0.11430367082357407,0.013313916511833668
,0.001,1520,,,,,,,,,,,,,,,
16,,1549,,,,,,0.23578599095344543,0.25246086716651917,0.0801231637597084,0.10534626245498657,0.011624219827353954,,,,,
16,,1599,,,,,,0.7926980257034302,0.8198375105857849,0.08186596632003784,0.10997728258371353,0.018695387989282608,,,,,
16,,1614,,,,,,,,,,,0.14745639264583588,0.18789465725421906,0.08422381430864334,0.11230720579624176,0.01283982302993536
,0.001,1615,,,,,,,,,,,,,,,
17,,1649,,,,,,0.38439249992370605,0.40208160877227783,0.07965574413537979,0.10469470173120499,0.0124680669978261,,,,,
17,,1699,,,,,,0.5697412490844727,0.5886605978012085,0.0806019976735115,0.10789427161216736,0.014989975839853287,,,,,
17,,1709,,,,,,,,,,,0.14174142479896545,0.17922233045101166,0.08262137323617935,0.11029637604951859,0.012364845722913742
,0.001,1710,,,,,,,,,,,,,,,
18,,1749,,,,,,0.304301917552948,0.3266315460205078,0.07548892498016357,0.09797433018684387,0.0105698611587286,,,,,
18,,1799,,,,,,0.5870159268379211,0.5975036025047302,0.08426196873188019,0.1099756583571434,0.015543804503977299,,,,,
18,,1804,,,,,,,,,,,0.13978315889835358,0.1758548617362976,0.08123664557933807,0.10856418311595917,0.011977569200098515
,0.001,1805,,,,,,,,,,,,,,,
19,,1849,,,,,,0.37272006273269653,0.39367640018463135,0.07433294504880905,0.09756775945425034,0.01097408402711153,,,,,
19,,1899,,,,,,0.3129776120185852,0.330524742603302,0.07164774090051651,0.09391997009515762,0.009825216606259346,,,,,
19,,1899,,,,,,,,,,,0.1348499357700348,0.16956692934036255,0.0798720270395279,0.10683640837669373,0.011587407439947128
,0.001,1900,,,,,,,,,,,,,,,
20,,1949,,,,,,0.1718280017375946,0.19039365649223328,0.07592007517814636,0.09971411526203156,0.010205973871052265,,,,,
20,,1994,,,,,,,,,,,0.13363291323184967,0.16745807230472565,0.07857043296098709,0.10514479130506516,0.011225294321775436
,0.001,1995,,,,,,,,,,,,,,,
21,,1999,,,,,,0.28772467374801636,0.3084790110588074,0.07989397644996643,0.10423538833856583,0.011707957834005356,,,,,
21,,2049,,,,,,0.6757539510726929,0.6793352961540222,0.07664491981267929,0.10126638412475586,0.014767294749617577,,,,,
21,,2089,,,,,,,,,,,0.12992587685585022,0.16270999610424042,0.07731875032186508,0.10353808104991913,0.010877678170800209
