#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
    540      4.65e+00    4.70e+00      3.54e-02    3.50e-02      1.47e-01    1.49e-01    1.0e-03
    549      4.57e+00    4.56e+00      1.41e-02    1.44e-02      1.44e-01    1.44e-01    1.0e-03
    558      4.55e+00    4.60e+00      1.86e-02    1.80e-02      1.44e-01    1.45e-01    1.0e-03
    567      4.81e+00    4.67e+00      4.07e-02    4.06e-02      1.52e-01    1.48e-01    1.0e-03
    576      4.52e+00    4.50e+00      1.22e-02    1.24e-02      1.43e-01    1.42e-01    1.0e-03
    585      4.52e+00    4.50e+00      8.76e-03    8.90e-03      1.43e-01    1.42e-01    1.0e-03
    594      4.49e+00    4.42e+00      3.48e-03    3.75e-03      1.42e-01    1.40e-01    1.0e-03
    603      4.33e+00    4.38e+00      2.07e-02    2.03e-02      1.37e-01    1.39e-01    1.0e-03
    612      4.53e+00    4.43e+00      2.79e-03    2.85e-03      1.43e-01    1.40e-01    1.0e-03
    621      4.49e+00    4.56e+00      3.00e-02    3.03e-02      1.42e-01    1.44e-01    1.0e-03
    630      4.46e+00    4.34e+00      9.87e-03    1.04e-02      1.41e-01    1.37e-01    1.0e-03
    639      4.44e+00    4.64e+00      3.73e-02    3.69e-02      1.40e-01    1.47e-01    1.0e-03
    648      4.55e+00    4.49e+00      9.66e-03    1.00e-02      1.44e-01    1.42e-01    1.0e-03
    657      4.34e+00    4.34e+00      1.78e-03    2.01e-03      1.37e-01    1.37e-01    1.0e-03
    666      4.50e+00    4.49e+00      2.45e-02    2.45e-02      1.42e-01    1.42e-01    1.0e-03
    675      4.75e+00    4.70e+00      3.27e-02    3.29e-02      1.50e-01    1.49e-01    1.0e-03
    684      4.85e+00    4.81e+00      8.76e-02    8.73e-02      1.53e-01    1.52e-01    1.0e-03
    693      4.60e+00    4.54e+00      3.16e-02    3.18e-02      1.45e-01    1.44e-01    1.0e-03
    702      4.48e+00    4.42e+00      2.00e-03    1.77e-03      1.42e-01    1.40e-01    1.0e-03
    711      4.31e+00    4.18e+00      4.99e-02    4.98e-02      1.36e-01    1.32e-01    1.0e-03
    720      4.32e+00    4.26e+00      1.72e-02    1.71e-02      1.36e-01    1.35e-01    1.0e-03
    729      4.08e+00    4.04e+00      7.57e-03    7.53e-03      1.29e-01    1.28e-01    1.0e-03
    738      4.13e+00    4.14e+00      1.71e-02    1.67e-02      1.31e-01    1.31e-01    1.0e-03
    747      4.22e+00    4.17e+00      3.89e-02    3.91e-02      1.33e-01    1.32e-01    1.0e-03
    756      3.90e+00    4.04e+00      9.80e-03    1.02e-02      1.23e-01    1.28e-01    1.0e-03
    765      4.19e+00    4.07e+00      1.27e-02    1.23e-02      1.32e-01    1.29e-01    1.0e-03
    774      3.96e+00    3.92e+00      1.00e-02    1.00e-02      1.25e-01    1.24e-01    1.0e-03
    783      4.21e+00    4.17e+00      1.08e-02    1.03e-02      1.33e-01    1.32e-01    1.0e-03
    792      4.16e+00    4.06e+00      2.84e-02    2.84e-02      1.31e-01    1.28e-01    1.0e-03
    801      4.06e+00    4.07e+00      2.82e-02    2.83e-02      1.28e-01    1.29e-01    1.0e-03
    810      3.96e+00    3.94e+00      2.00e-03    2.28e-03      1.25e-01    1.25e-01    1.0e-03
    819      4.02e+00    3.90e+00      1.97e-02    1.98e-02      1.27e-01    1.23e-01    1.0e-03
    828      3.92e+00    3.87e+00      2.20e-02    2.22e-02      1.24e-01    1.22e-01    1.0e-03
    837      4.03e+00    3.91e+00      2.23e-02    2.25e-02      1.27e-01    1.24e-01    1.0e-03
    846      4.14e+00    4.23e+00      3.22e-02    3.25e-02      1.31e-01    1.34e-01    1.0e-03
    855      4.15e+00    4.05e+00      1.36e-02    1.36e-02      1.31e-01    1.28e-01    1.0e-03
    864      5.54e+00    5.42e+00      9.72e-02    9.71e-02      1.75e-01    1.71e-01    1.0e-03
    873      4.48e+00    4.57e+00      5.67e-02    5.65e-02      1.42e-01    1.44e-01    1.0e-03
    882      4.24e+00    4.15e+00      1.55e-02    1.56e-02      1.34e-01    1.31e-01    1.0e-03
    891      4.03e+00    3.93e+00      6.22e-02    6.25e-02      1.27e-01    1.24e-01    1.0e-03
    900      3.99e+00    3.78e+00      3.83e-03    4.22e-03      1.26e-01    1.19e-01    1.0e-03
    909      3.72e+00    3.77e+00      1.42e-02    1.40e-02      1.18e-01    1.19e-01    1.0e-03
    918      3.81e+00    3.73e+00      3.64e-02    3.62e-02      1.20e-01    1.18e-01    1.0e-03
    927      3.82e+00    3.82e+00      3.46e-02    3.47e-02      1.21e-01    1.21e-01    1.0e-03
    936      3.94e+00    3.89e+00      1.16e-02    1.17e-02      1.24e-01    1.23e-01    1.0e-03
    945      3.80e+00    3.72e+00      2.47e-03    2.36e-03      1.20e-01    1.18e-01    1.0e-03
    954      3.81e+00    3.83e+00      1.53e-03    1.43e-03      1.20e-01    1.21e-01    1.0e-03
    963      3.92e+00    3.77e+00      9.15e-03    9.27e-03      1.24e-01    1.19e-01    1.0e-03
    972      3.78e+00    3.76e+00      1.81e-02    1.79e-02      1.20e-01    1.19e-01    1.0e-03
