Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -661.283     -665.232        3.949   293.8
0.0500         -659.369     -662.327        2.958   220.1
0.1000         -658.770     -661.687        2.916   216.9
0.1500         -657.785     -661.718        3.934   292.6
0.2000         -658.057     -661.572        3.515   261.5
0.2500         -657.754     -661.249        3.495   260.0
0.3000         -657.682     -661.765        4.083   303.8
0.3500         -656.948     -660.951        4.003   297.8
0.4000         -656.728     -660.941        4.214   313.5
0.4500         -657.365     -661.180        3.815   283.8
0.5000         -657.109     -661.155        4.046   301.0
0.5500         -656.264     -660.744        4.480   333.3
0.6000         -656.665     -660.672        4.007   298.1
0.6500         -656.621     -660.453        3.832   285.0
0.7000         -656.404     -660.427        4.023   299.3
0.7500         -657.151     -661.049        3.897   289.9
0.8000         -657.329     -660.888        3.559   264.7
0.8500         -657.336     -661.313        3.978   295.9
0.9000         -657.034     -660.952        3.918   291.4
0.9500         -657.508     -661.110        3.601   267.9
1.0000         -657.449     -661.506        4.058   301.8
1.0500         -657.996     -661.535        3.540   263.3
1.1000         -657.621     -661.261        3.640   270.8
1.1500         -657.384     -661.124        3.740   278.2
1.2000         -657.696     -661.064        3.367   250.5
1.2500         -658.136     -661.701        3.565   265.2
1.3000         -658.222     -661.514        3.292   244.9
1.3500         -657.668     -662.002        4.334   322.4
1.4000         -657.426     -661.515        4.089   304.2
1.4500         -657.480     -661.498        4.018   298.9
1.5000         -657.095     -661.370        4.275   318.0
1.5500         -656.867     -660.975        4.108   305.6
1.6000         -657.480     -661.665        4.186   311.4
1.6500         -657.403     -661.519        4.116   306.2
1.7000         -657.628     -661.290        3.662   272.4
1.7500         -656.904     -661.119        4.215   313.6
1.8000         -657.164     -661.230        4.066   302.4
1.8500         -657.529     -661.330        3.801   282.7
1.9000         -657.288     -660.610        3.323   247.2
1.9500         -657.211     -661.385        4.174   310.5
2.0000         -656.573     -660.937        4.363   324.6
2.0500         -657.257     -661.742        4.485   333.6
2.1000         -657.136     -661.231        4.095   304.6
2.1500         -656.787     -660.820        4.034   300.0
2.2000         -656.701     -660.678        3.977   295.9
2.2500         -655.979     -660.494        4.516   335.9
2.3000         -656.335     -660.888        4.552   338.6
2.3500         -656.983     -660.880        3.897   289.9
2.4000         -656.906     -661.001        4.095   304.6
2.4500         -657.273     -661.408        4.135   307.6
2.5000         -657.184     -660.740        3.556   264.5
2.5500         -656.811     -660.606        3.795   282.3
2.6000         -656.417     -660.598        4.181   311.0
2.6500         -656.513     -660.428        3.915   291.3
2.7000         -656.903     -661.239        4.336   322.6
2.7500         -656.813     -660.452        3.639   270.7
2.8000         -656.299     -660.115        3.816   283.9
2.8500         -656.008     -660.020        4.012   298.4
2.9000         -656.113     -660.300        4.187   311.4
2.9500         -656.499     -660.608        4.110   305.7
3.0000         -656.752     -661.165        4.413   328.3
3.0500         -656.719     -660.540        3.821   284.3
3.1000         -656.741     -660.923        4.182   311.1
3.1500         -656.936     -661.277        4.342   323.0
3.2000         -657.273     -661.293        4.020   299.0
3.2500         -657.649     -661.046        3.397   252.7
3.3000         -656.869     -660.943        4.074   303.1
3.3500         -656.899     -661.068        4.169   310.2
3.4000         -656.690     -660.696        4.006   298.0
3.4500         -656.521     -660.317        3.795   282.3
3.5000         -656.370     -660.426        4.057   301.8
3.5500         -656.652     -660.597        3.945   293.5
3.6000         -657.161     -661.273        4.112   305.9
3.6500         -657.766     -661.210        3.444   256.2
3.7000         -657.783     -661.619        3.836   285.3
3.7500         -657.312     -660.837        3.526   262.3
3.8000         -657.224     -660.986        3.763   279.9
3.8500         -657.443     -660.940        3.497   260.1
3.9000         -657.193     -661.283        4.090   304.3
3.9500         -656.787     -661.082        4.294   319.4
4.0000         -657.265     -661.496        4.231   314.7
4.0500         -657.345     -660.874        3.529   262.5
4.1000         -656.788     -660.663        3.875   288.3
4.1500         -656.352     -660.714        4.361   324.4
4.2000         -656.395     -660.358        3.963   294.8
4.2500         -656.770     -660.765        3.994   297.1
4.3000         -656.382     -660.704        4.322   321.5
4.3500         -656.446     -660.525        4.079   303.4
4.4000         -656.613     -660.850        4.237   315.2
4.4500         -656.274     -661.278        5.005   372.3
4.5000         -656.016     -660.877        4.861   361.6
4.5500         -655.914     -660.813        4.900   364.5
