Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
6.0500        -571.5815    -575.0480       3.4665   304.7
6.1000        -571.8657    -575.0375       3.1719   278.8
6.1500        -571.6106    -574.7115       3.1009   272.6
6.2000        -571.1452    -574.5799       3.4347   302.0
6.2500        -570.7200    -574.1067       3.3867   297.7
6.3000        -571.5280    -574.6054       3.0774   270.5
6.3500        -571.6026    -574.9673       3.3647   295.8
6.4000        -571.9299    -574.9576       3.0276   266.2
6.4500        -571.8169    -575.2761       3.4592   304.1
6.5000        -571.6483    -574.8377       3.1894   280.4
6.5500        -572.1414    -574.9331       2.7917   245.4
6.6000        -571.6023    -574.6973       3.0949   272.1
6.6500        -571.8909    -574.8964       3.0055   264.2
6.7000        -571.7300    -574.8791       3.1491   276.8
6.7500        -571.6059    -574.6332       3.0274   266.1
6.8000        -571.6170    -575.1023       3.4853   306.4
6.8500        -571.7130    -574.8224       3.1094   273.4
6.9000        -571.8863    -574.8431       2.9568   259.9
6.9500        -571.8774    -575.1692       3.2918   289.4
7.0000        -571.6285    -574.9621       3.3336   293.1
7.0500        -572.0257    -575.2453       3.2196   283.0
7.1000        -571.4442    -574.9769       3.5327   310.6
7.1500        -571.1259    -574.8294       3.7035   325.6
7.2000        -570.9565    -574.3902       3.4337   301.9
7.2500        -570.0052    -573.9264       3.9212   344.7
7.3000        -570.7919    -574.3293       3.5374   311.0
7.3500        -570.7038    -574.1733       3.4695   305.0
7.4000        -570.3663    -574.0075       3.6412   320.1
7.4500        -570.8878    -574.3770       3.4892   306.7
7.5000        -570.9907    -574.8512       3.8605   339.4
7.5500        -570.7986    -575.0297       4.2311   372.0
7.6000        -570.8512    -574.0807       3.2295   283.9
7.6500        -570.8806    -574.5090       3.6284   319.0
7.7000        -570.9359    -574.4883       3.5524   312.3
7.7500        -571.3236    -574.7301       3.4066   299.5
7.8000        -570.8465    -574.3589       3.5124   308.8
7.8500        -570.9374    -574.3340       3.3966   298.6
7.9000        -570.7779    -574.6424       3.8645   339.7
7.9500        -570.9786    -574.3484       3.3699   296.3
8.0000        -570.9794    -574.8604       3.8810   341.2
8.0500        -570.7780    -573.9926       3.2146   282.6
8.1000        -571.1938    -574.2349       3.0410   267.3
8.1500        -571.6717    -574.5094       2.8378   249.5
8.2000        -572.0171    -575.1507       3.1336   275.5
8.2500        -572.1944    -575.2893       3.0949   272.1
8.3000        -572.0619    -575.1783       3.1164   274.0
8.3500        -571.3874    -574.7796       3.3922   298.2
8.4000        -571.7671    -574.6812       2.9141   256.2
8.4500        -571.6206    -575.0133       3.3926   298.3
8.5000        -571.8427    -574.7205       2.8778   253.0
8.5500        -571.7950    -575.2169       3.4219   300.8
8.6000        -571.7582    -575.1973       3.4391   302.3
8.6500        -571.4664    -574.7771       3.3107   291.1
8.7000        -571.5366    -575.1588       3.6222   318.4
8.7500        -571.8120    -574.6720       2.8601   251.4
