#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.21e+01    3.12e+01      4.47e-01    4.46e-01      1.01e+00    9.88e-01    1.0e-03
      9      3.18e+01    3.03e+01      1.71e-01    1.74e-01      1.01e+00    9.59e-01    1.0e-03
     18      2.97e+01    2.88e+01      6.98e-02    6.78e-02      9.39e-01    9.11e-01    1.0e-03
     27      2.90e+01    2.81e+01      3.78e-02    3.46e-02      9.18e-01    8.89e-01    1.0e-03
     36      2.87e+01    2.74e+01      3.30e-02    3.11e-02      9.09e-01    8.65e-01    1.0e-03
     45      2.71e+01    2.70e+01      1.75e-02    1.72e-02      8.56e-01    8.53e-01    1.0e-03
     54      2.64e+01    2.57e+01      8.76e-03    8.81e-03      8.35e-01    8.11e-01    1.0e-03
     63      2.38e+01    2.32e+01      4.45e-03    5.26e-03      7.54e-01    7.33e-01    1.0e-03
     72      2.32e+01    2.25e+01      2.55e-01    2.57e-01      7.33e-01    7.12e-01    1.0e-03
     81      1.98e+01    1.95e+01      1.74e-01    1.75e-01      6.27e-01    6.15e-01    1.0e-03
     90      1.89e+01    1.84e+01      1.13e-01    1.13e-01      5.96e-01    5.83e-01    1.0e-03
     99      1.70e+01    1.70e+01      1.48e-01    1.50e-01      5.38e-01    5.39e-01    1.0e-03
    108      1.53e+01    1.52e+01      1.90e-01    1.91e-01      4.84e-01    4.82e-01    1.0e-03
    117      1.41e+01    1.37e+01      3.01e-01    3.02e-01      4.46e-01    4.32e-01    1.0e-03
    126      1.23e+01    1.21e+01      2.46e-01    2.46e-01      3.90e-01    3.82e-01    1.0e-03
    135      1.25e+01    1.23e+01      4.01e-02    4.03e-02      3.96e-01    3.88e-01    1.0e-03
    144      1.05e+01    1.03e+01      1.52e-01    1.51e-01      3.31e-01    3.27e-01    1.0e-03
    153      1.04e+01    1.02e+01      2.54e-02    2.60e-02      3.27e-01    3.21e-01    1.0e-03
    162      9.97e+00    9.50e+00      1.45e-01    1.44e-01      3.15e-01    3.00e-01    1.0e-03
    171      9.44e+00    9.28e+00      6.09e-02    6.14e-02      2.99e-01    2.93e-01    1.0e-03
    180      9.28e+00    9.08e+00      2.28e-02    2.33e-02      2.93e-01    2.87e-01    1.0e-03
    189      8.90e+00    8.94e+00      7.68e-02    7.69e-02      2.81e-01    2.83e-01    1.0e-03
    198      9.06e+00    9.19e+00      1.43e-01    1.44e-01      2.86e-01    2.90e-01    1.0e-03
    207      8.74e+00    8.48e+00      8.78e-02    8.62e-02      2.76e-01    2.68e-01    1.0e-03
    216      8.36e+00    8.34e+00      1.32e-01    1.32e-01      2.64e-01    2.64e-01    1.0e-03
    225      8.29e+00    8.40e+00      1.47e-02    1.52e-02      2.62e-01    2.66e-01    1.0e-03
