#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.24e+01    3.18e+01      4.50e-01    4.45e-01      1.02e+00    1.01e+00    1.0e-03
      3      3.22e+01    3.17e+01      1.11e-01    1.14e-01      1.02e+00    1.00e+00    1.0e-03
      6      3.08e+01    3.10e+01      2.26e-01    2.27e-01      9.72e-01    9.80e-01    1.0e-03
      9      3.11e+01    3.07e+01      7.37e-02    7.50e-02      9.84e-01    9.71e-01    1.0e-03
     12      3.10e+01    3.03e+01      7.33e-02    7.18e-02      9.79e-01    9.57e-01    1.0e-03
     15      3.12e+01    3.00e+01      1.07e-01    1.06e-01      9.86e-01    9.48e-01    1.0e-03
     18      2.79e+01    2.91e+01      4.48e-02    4.96e-02      8.84e-01    9.21e-01    1.0e-03
     21      3.04e+01    2.90e+01      1.99e-02    1.97e-02      9.61e-01    9.17e-01    1.0e-03
     24      2.83e+01    2.85e+01      2.48e-02    2.22e-02      8.94e-01    9.00e-01    1.0e-03
     27      2.86e+01    2.87e+01      4.45e-02    4.38e-02      9.04e-01    9.07e-01    1.0e-03
     30      2.70e+01    2.82e+01      8.50e-02    8.85e-02      8.54e-01    8.93e-01    1.0e-03
     33      2.78e+01    2.78e+01      3.82e-02    3.94e-02      8.78e-01    8.81e-01    1.0e-03
     36      2.81e+01    2.74e+01      1.36e-03    3.76e-03      8.90e-01    8.67e-01    1.0e-03
     39      3.00e+01    2.73e+01      3.43e-02    2.66e-02      9.50e-01    8.63e-01    1.0e-03
     42      2.65e+01    2.71e+01      5.96e-02    6.26e-02      8.39e-01    8.56e-01    1.0e-03
     45      2.60e+01    2.68e+01      4.38e-02    4.46e-02      8.21e-01    8.48e-01    1.0e-03
     48      2.67e+01    2.60e+01      2.87e-02    3.19e-02      8.45e-01    8.21e-01    1.0e-03
     51      2.47e+01    2.55e+01      1.38e-02    1.10e-02      7.81e-01    8.07e-01    1.0e-03
     54      2.60e+01    2.50e+01      1.46e-03    3.64e-03      8.24e-01    7.91e-01    1.0e-03
     57      2.48e+01    2.41e+01      6.08e-02    5.69e-02      7.83e-01    7.64e-01    1.0e-03
     60      2.46e+01    2.37e+01      3.56e-02    3.87e-02      7.77e-01    7.50e-01    1.0e-03
     63      2.28e+01    2.28e+01      2.40e-02    2.58e-02      7.20e-01    7.20e-01    1.0e-03
     66      2.07e+01    2.20e+01      9.16e-03    1.39e-02      6.53e-01    6.96e-01    1.0e-03
     69      2.22e+01    2.15e+01      1.13e-02    6.97e-03      7.02e-01    6.79e-01    1.0e-03
     72      1.96e+01    1.98e+01      4.92e-02    4.97e-02      6.19e-01    6.25e-01    1.0e-03
     75      1.97e+01    1.94e+01      1.46e-01    1.46e-01      6.23e-01    6.13e-01    1.0e-03
     78      1.84e+01    1.88e+01      1.38e-01    1.36e-01      5.83e-01    5.95e-01    1.0e-03
     81      1.90e+01    1.86e+01      8.49e-04    3.75e-03      6.00e-01    5.88e-01    1.0e-03
     84      1.63e+01    1.78e+01      1.05e-01    1.07e-01      5.14e-01    5.63e-01    1.0e-03
     87      1.66e+01    1.71e+01      2.02e-01    2.01e-01      5.23e-01    5.40e-01    1.0e-03
     90      1.75e+01    1.67e+01      1.83e-01    1.86e-01      5.52e-01    5.27e-01    1.0e-03
     93      1.57e+01    1.60e+01      9.99e-03    7.54e-03      4.95e-01    5.07e-01    1.0e-03
     96      1.66e+01    1.53e+01      1.67e-02    1.29e-02      5.24e-01    4.85e-01    1.0e-03
     99      1.54e+01    1.51e+01      1.13e-01    1.10e-01      4.86e-01    4.78e-01    1.0e-03
    102      1.27e+01    1.24e+01      1.62e-03    4.44e-03      4.77e-01    4.65e-01    7.1e-04
    105      1.22e+01    1.19e+01      8.48e-02    8.65e-02      4.57e-01    4.45e-01    7.1e-04
    108      1.27e+01    1.14e+01      8.21e-03    7.05e-03      4.78e-01    4.29e-01    7.1e-04
    111      1.14e+01    1.11e+01      1.08e-02    1.36e-02      4.28e-01    4.16e-01    7.1e-04
    114      1.15e+01    1.08e+01      9.97e-02    1.05e-01      4.31e-01    4.05e-01    7.1e-04
    117      1.07e+01    1.07e+01      3.08e-02    3.15e-02      4.01e-01    4.00e-01    7.1e-04
    120      1.08e+01    1.04e+01      3.57e-02    3.98e-02      4.06e-01    3.90e-01    7.1e-04
    123      1.02e+01    1.01e+01      2.07e-02    2.52e-02      3.82e-01    3.77e-01    7.1e-04
    126      9.68e+00    9.87e+00      6.30e-02    6.58e-02      3.62e-01    3.70e-01    7.1e-04
    129      9.85e+00    9.62e+00      4.92e-02    4.83e-02      3.69e-01    3.61e-01    7.1e-04
    132      9.56e+00    9.48e+00      3.73e-02    3.81e-02      3.59e-01    3.56e-01    7.1e-04
    135      9.32e+00    9.46e+00      1.22e-01    1.19e-01      3.48e-01    3.53e-01    7.1e-04
    138      1.01e+01    9.30e+00      8.77e-02    8.89e-02      3.77e-01    3.48e-01    7.1e-04
    141      9.46e+00    9.04e+00      4.56e-02    4.35e-02      3.55e-01    3.39e-01    7.1e-04
    144      9.01e+00    8.85e+00      8.41e-02    8.00e-02      3.37e-01    3.31e-01    7.1e-04
    147      9.11e+00    8.83e+00      1.30e-02    1.29e-02      3.42e-01    3.31e-01    7.1e-04
    150      8.77e+00    8.71e+00      6.67e-02    6.88e-02      3.28e-01    3.26e-01    7.1e-04
    153      8.41e+00    8.68e+00      3.02e-02    3.05e-02      3.15e-01    3.25e-01    7.1e-04
    156      9.00e+00    8.55e+00      3.84e-02    3.72e-02      3.37e-01    3.21e-01    7.1e-04
    159      8.38e+00    8.36e+00      4.47e-03    2.76e-03      3.14e-01    3.14e-01    7.1e-04
    162      8.43e+00    8.30e+00      1.73e-02    1.67e-02      3.16e-01    3.11e-01    7.1e-04
    165      8.51e+00    8.18e+00      1.59e-02    1.54e-02      3.19e-01    3.07e-01    7.1e-04
    168      8.01e+00    8.22e+00      4.62e-02    4.84e-02      3.00e-01    3.08e-01    7.1e-04
    171      8.14e+00    8.19e+00      2.42e-02    1.99e-02      3.05e-01    3.07e-01    7.1e-04
    174      7.85e+00    8.07e+00      3.32e-03    2.54e-03      2.95e-01    3.03e-01    7.1e-04
    177      7.97e+00    7.90e+00      1.80e-02    1.84e-02      2.99e-01    2.96e-01    7.1e-04
    180      8.60e+00    7.75e+00      3.86e-03    6.04e-03      3.22e-01    2.91e-01    7.1e-04
    183      7.86e+00    7.82e+00      5.80e-02    5.37e-02      2.94e-01    2.93e-01    7.1e-04
    186      8.05e+00    7.67e+00      1.03e-02    1.02e-02      3.02e-01    2.88e-01    7.1e-04
    189      8.07e+00    7.67e+00      6.21e-03    3.26e-03      3.03e-01    2.88e-01    7.1e-04
    192      8.27e+00    7.69e+00      4.25e-02    4.11e-02      3.10e-01    2.88e-01    7.1e-04
    195      7.65e+00    7.54e+00      3.21e-02    3.24e-02      2.87e-01    2.83e-01    7.1e-04
    198      7.52e+00    7.51e+00      4.38e-02    4.46e-02      2.82e-01    2.81e-01    7.1e-04
    201      5.79e+00    6.25e+00      6.25e-02    6.19e-02      2.56e-01    2.77e-01    5.0e-04
    204      6.27e+00    6.22e+00      6.63e-02    6.56e-02      2.77e-01    2.75e-01    5.0e-04
    207      6.41e+00    6.18e+00      5.47e-02    5.71e-02      2.84e-01    2.74e-01    5.0e-04
    210      6.28e+00    6.14e+00      2.76e-02    2.33e-02      2.79e-01    2.73e-01    5.0e-04
    213      6.20e+00    6.12e+00      2.83e-02    2.53e-02      2.76e-01    2.72e-01    5.0e-04
    216      5.97e+00    6.09e+00      1.48e-02    1.53e-02      2.65e-01    2.71e-01    5.0e-04
    219      6.49e+00    6.05e+00      1.08e-02    1.05e-02      2.89e-01    2.69e-01    5.0e-04
    222      6.35e+00    6.17e+00      3.53e-03    6.21e-03      2.82e-01    2.75e-01    5.0e-04
    225      6.11e+00    6.07e+00      1.93e-02    2.36e-02      2.72e-01    2.70e-01    5.0e-04
    228      6.14e+00    6.07e+00      3.71e-02    3.32e-02      2.73e-01    2.70e-01    5.0e-04
    231      5.99e+00    5.99e+00      2.27e-03    2.57e-03      2.67e-01    2.67e-01    5.0e-04
    234      5.98e+00    5.98e+00      3.39e-02    3.12e-02      2.66e-01    2.66e-01    5.0e-04
    237      6.02e+00    5.92e+00      1.09e-02    8.39e-03      2.68e-01    2.63e-01    5.0e-04
    240      6.26e+00    5.97e+00      2.65e-02    2.76e-02      2.78e-01    2.65e-01    5.0e-04
    243      6.36e+00    5.92e+00      1.51e-02    1.53e-02      2.83e-01    2.63e-01    5.0e-04
    246      6.10e+00    5.95e+00      3.02e-03    5.55e-03      2.71e-01    2.65e-01    5.0e-04
    249      5.83e+00    5.91e+00      1.24e-02    1.68e-02      2.59e-01    2.63e-01    5.0e-04
