#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      5.04e+01    4.36e+01      2.55e-01    2.49e-01      1.59e+00    1.38e+00    1.0e-03
     19      4.56e+01    3.91e+01      4.55e-02    4.49e-02      1.44e+00    1.24e+00    1.0e-03
     38      4.32e+01    3.71e+01      1.10e+00    1.12e+00      1.37e+00    1.17e+00    1.0e-03
     57      3.92e+01    3.48e+01      2.67e-01    2.81e-01      1.24e+00    1.10e+00    1.0e-03
     76      3.12e+01    2.44e+01      1.22e-01    1.08e-01      9.88e-01    7.70e-01    1.0e-03
     95      1.87e+01    1.69e+01      8.33e-01    8.02e-01      5.90e-01    5.33e-01    1.0e-03
    114      1.54e+01    1.33e+01      4.23e-01    3.98e-01      4.88e-01    4.20e-01    1.0e-03
    133      1.28e+01    1.19e+01      4.05e-02    2.98e-02      4.05e-01    3.75e-01    1.0e-03
    152      1.19e+01    1.02e+01      1.97e-01    1.86e-01      3.76e-01    3.22e-01    1.0e-03
    171      1.10e+01    9.71e+00      3.77e-02    3.01e-02      3.49e-01    3.07e-01    1.0e-03
    190      1.02e+01    9.90e+00      8.66e-02    8.19e-02      3.22e-01    3.13e-01    1.0e-03
    209      9.93e+00    8.95e+00      7.03e-02    6.53e-02      3.14e-01    2.83e-01    1.0e-03
    228      9.82e+00    8.72e+00      3.27e-02    3.59e-02      3.10e-01    2.76e-01    1.0e-03
    247      8.99e+00    8.27e+00      2.44e-02    2.79e-02      2.84e-01    2.61e-01    1.0e-03
    266      8.68e+00    7.94e+00      6.49e-02    6.21e-02      2.75e-01    2.51e-01    1.0e-03
    285      8.79e+00    8.10e+00      2.25e-02    2.08e-02      2.78e-01    2.56e-01    1.0e-03
    304      8.02e+00    7.73e+00      6.90e-02    7.02e-02      2.54e-01    2.44e-01    1.0e-03
    323      7.98e+00    7.25e+00      4.66e-02    4.84e-02      2.52e-01    2.29e-01    1.0e-03
    342      7.59e+00    6.82e+00      7.19e-03    1.01e-02      2.40e-01    2.16e-01    1.0e-03
    361      7.37e+00    6.87e+00      3.95e-02    4.22e-02      2.33e-01    2.17e-01    1.0e-03
    380      7.25e+00    6.97e+00      1.72e-01    1.74e-01      2.29e-01    2.20e-01    1.0e-03
    399      6.76e+00    6.57e+00      3.28e-02    3.63e-02      2.14e-01    2.08e-01    1.0e-03
    418      7.00e+00    6.72e+00      1.10e-02    1.38e-02      2.21e-01    2.13e-01    1.0e-03
    437      6.44e+00    6.10e+00      1.29e-03    4.63e-03      2.04e-01    1.93e-01    1.0e-03
    456      7.21e+00    6.33e+00      1.17e-01    1.19e-01      2.28e-01    2.00e-01    1.0e-03
    475      6.30e+00    6.05e+00      3.28e-02    3.50e-02      1.99e-01    1.91e-01    1.0e-03
    494      6.60e+00    6.19e+00      4.61e-03    8.32e-03      2.09e-01    1.96e-01    1.0e-03
    513      6.00e+00    5.86e+00      4.66e-02    4.80e-02      1.90e-01    1.85e-01    1.0e-03
    532      5.79e+00    5.75e+00      2.46e-03    2.06e-03      1.83e-01    1.82e-01    1.0e-03
    551      5.72e+00    5.41e+00      5.03e-02    4.69e-02      1.81e-01    1.71e-01    1.0e-03
    570      5.85e+00    5.51e+00      1.26e-02    1.46e-02      1.85e-01    1.74e-01    1.0e-03
    589      5.76e+00    5.71e+00      3.33e-02    3.52e-02      1.82e-01    1.80e-01    1.0e-03
    608      5.28e+00    5.18e+00      4.79e-03    7.46e-03      1.67e-01    1.64e-01    1.0e-03
    627      5.42e+00    5.20e+00      2.50e-02    2.60e-02      1.71e-01    1.64e-01    1.0e-03
    646      5.48e+00    5.17e+00      2.93e-02    3.11e-02      1.73e-01    1.63e-01    1.0e-03
    665      5.19e+00    5.12e+00      1.96e-02    2.02e-02      1.64e-01    1.62e-01    1.0e-03
    684      5.37e+00    4.85e+00      1.17e-02    1.05e-02      1.70e-01    1.53e-01    1.0e-03
    703      5.04e+00    5.30e+00      2.34e-02    2.33e-02      1.59e-01    1.68e-01    1.0e-03
    722      5.11e+00    5.11e+00      1.99e-02    1.87e-02      1.61e-01    1.62e-01    1.0e-03
    741      4.94e+00    4.70e+00      2.32e-02    2.47e-02      1.56e-01    1.49e-01    1.0e-03
    760      5.11e+00    4.89e+00      2.58e-02    2.80e-02      1.62e-01    1.55e-01    1.0e-03
    779      5.52e+00    5.23e+00      3.03e-02    3.21e-02      1.75e-01    1.65e-01    1.0e-03
    798      5.27e+00    5.04e+00      5.57e-02    5.44e-02      1.67e-01    1.59e-01    1.0e-03
    817      4.92e+00    4.81e+00      5.77e-02    6.08e-02      1.56e-01    1.52e-01    1.0e-03
