#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
    120      8.68e+00    9.31e+00      8.01e-02    7.73e-02      3.54e-01    3.80e-01    6.0e-04
    122      9.00e+00    9.18e+00      5.65e-02    5.84e-02      3.68e-01    3.75e-01    6.0e-04
    124      8.73e+00    9.16e+00      4.87e-03    7.17e-03      3.57e-01    3.74e-01    6.0e-04
    126      8.69e+00    8.88e+00      4.91e-03    4.65e-03      3.55e-01    3.63e-01    6.0e-04
    128      8.63e+00    8.85e+00      3.56e-02    3.31e-02      3.53e-01    3.61e-01    6.0e-04
    130      8.37e+00    8.77e+00      5.89e-02    6.26e-02      3.42e-01    3.58e-01    6.0e-04
    132      8.30e+00    8.69e+00      3.00e-03    5.38e-03      3.39e-01    3.55e-01    6.0e-04
    134      8.34e+00    8.59e+00      3.31e-02    2.92e-02      3.41e-01    3.51e-01    6.0e-04
    136      8.39e+00    8.55e+00      6.64e-02    6.91e-02      3.42e-01    3.49e-01    6.0e-04
    138      8.00e+00    8.43e+00      3.19e-02    2.90e-02      3.27e-01    3.44e-01    6.0e-04
    140      8.16e+00    8.41e+00      2.39e-02    2.12e-02      3.33e-01    3.44e-01    6.0e-04
    142      8.01e+00    8.39e+00      6.08e-02    6.26e-02      3.27e-01    3.42e-01    6.0e-04
    144      8.18e+00    8.16e+00      3.31e-02    3.23e-02      3.34e-01    3.33e-01    6.0e-04
    146      7.76e+00    8.30e+00      6.25e-03    5.22e-03      3.17e-01    3.39e-01    6.0e-04
    148      7.96e+00    8.22e+00      5.97e-02    6.29e-02      3.25e-01    3.35e-01    6.0e-04
    150      7.92e+00    8.10e+00      4.92e-02    4.72e-02      3.23e-01    3.30e-01    6.0e-04
    152      7.76e+00    8.01e+00      8.44e-03    8.06e-03      3.17e-01    3.27e-01    6.0e-04
    154      7.80e+00    8.17e+00      3.50e-02    3.88e-02      3.19e-01    3.34e-01    6.0e-04
    156      7.78e+00    8.07e+00      3.31e-02    3.00e-02      3.18e-01    3.29e-01    6.0e-04
    158      7.69e+00    7.98e+00      2.96e-03    4.56e-03      3.14e-01    3.26e-01    6.0e-04
    160      7.58e+00    7.99e+00      1.93e-02    2.16e-02      3.10e-01    3.26e-01    6.0e-04
    162      7.72e+00    7.88e+00      2.65e-02    2.51e-02      3.15e-01    3.22e-01    6.0e-04
    164      7.56e+00    7.86e+00      8.70e-03    1.15e-02      3.09e-01    3.21e-01    6.0e-04
    166      7.45e+00    7.85e+00      1.14e-02    1.48e-02      3.04e-01    3.20e-01    6.0e-04
    168      7.43e+00    7.87e+00      1.29e-02    1.12e-02      3.04e-01    3.21e-01    6.0e-04
    170      7.60e+00    7.72e+00      2.09e-02    2.24e-02      3.10e-01    3.15e-01    6.0e-04
    172      7.37e+00    7.69e+00      9.97e-03    7.28e-03      3.01e-01    3.14e-01    6.0e-04
    174      7.46e+00    7.69e+00      8.04e-03    1.06e-02      3.05e-01    3.14e-01    6.0e-04
    176      7.38e+00    7.57e+00      1.36e-02    1.60e-02      3.02e-01    3.09e-01    6.0e-04
    178      7.30e+00    7.60e+00      1.17e-02    9.75e-03      2.98e-01    3.11e-01    6.0e-04
    180      7.35e+00    7.52e+00      5.00e-03    7.49e-03      3.00e-01    3.07e-01    6.0e-04
    182      7.29e+00    7.58e+00      8.38e-03    1.12e-02      2.98e-01    3.10e-01    6.0e-04
    184      7.20e+00    7.41e+00      1.24e-02    1.07e-02      2.94e-01    3.03e-01    6.0e-04
    186      7.33e+00    7.59e+00      9.60e-03    8.36e-03      3.00e-01    3.10e-01    6.0e-04
    188      7.27e+00    7.48e+00      1.95e-02    2.22e-02      2.97e-01    3.05e-01    6.0e-04
    190      7.13e+00    7.37e+00      1.43e-02    1.78e-02      2.91e-01    3.01e-01    6.0e-04
    192      7.06e+00    7.41e+00      6.74e-03    5.59e-03      2.89e-01    3.03e-01    6.0e-04
    194      7.22e+00    7.30e+00      3.99e-03    4.53e-03      2.95e-01    2.98e-01    6.0e-04
    196      7.17e+00    7.42e+00      1.91e-02    2.28e-02      2.93e-01    3.03e-01    6.0e-04
    198      7.03e+00    7.29e+00      5.69e-03    4.70e-03      2.87e-01    2.98e-01    6.0e-04
    200      5.44e+00    5.66e+00      3.25e-03    5.66e-03      2.87e-01    2.99e-01    3.6e-04
    202      5.45e+00    5.68e+00      3.16e-03    5.61e-03      2.88e-01    3.00e-01    3.6e-04
    204      5.30e+00    5.60e+00      1.18e-02    9.35e-03      2.79e-01    2.95e-01    3.6e-04
    206      5.57e+00    5.61e+00      1.46e-02    1.65e-02      2.94e-01    2.96e-01    3.6e-04
    208      5.42e+00    5.64e+00      1.64e-02    1.35e-02      2.86e-01    2.97e-01    3.6e-04
    210      5.39e+00    5.66e+00      4.08e-03    6.29e-03      2.85e-01    2.98e-01    3.6e-04
    212      5.44e+00    5.59e+00      5.41e-03    7.70e-03      2.87e-01    2.95e-01    3.6e-04
    214      5.35e+00    5.60e+00      6.40e-03    4.66e-03      2.82e-01    2.95e-01    3.6e-04
    216      5.38e+00    5.54e+00      6.93e-03    6.53e-03      2.84e-01    2.92e-01    3.6e-04
    218      5.36e+00    5.54e+00      7.17e-03    9.45e-03      2.83e-01    2.93e-01    3.6e-04
    220      5.45e+00    5.61e+00      2.85e-03    4.44e-03      2.87e-01    2.96e-01    3.6e-04
    222      5.34e+00    5.59e+00      1.56e-02    1.27e-02      2.82e-01    2.95e-01    3.6e-04
    224      5.34e+00    5.58e+00      1.57e-02    1.90e-02      2.81e-01    2.94e-01    3.6e-04
    226      5.42e+00    5.55e+00      1.03e-02    9.81e-03      2.86e-01    2.93e-01    3.6e-04
    228      5.34e+00    5.57e+00      4.31e-03    6.92e-03      2.82e-01    2.94e-01    3.6e-04
    230      5.33e+00    5.53e+00      6.04e-03    5.43e-03      2.81e-01    2.92e-01    3.6e-04
    232      5.25e+00    5.56e+00      7.69e-03    1.08e-02      2.77e-01    2.93e-01    3.6e-04
    234      5.38e+00    5.44e+00      5.46e-03    5.25e-03      2.84e-01    2.87e-01    3.6e-04
    236      5.31e+00    5.53e+00      8.19e-03    5.98e-03      2.80e-01    2.92e-01    3.6e-04
    238      5.34e+00    5.53e+00      1.24e-02    1.39e-02      2.82e-01    2.92e-01    3.6e-04
    240      5.30e+00    5.53e+00      9.59e-03    6.98e-03      2.80e-01    2.92e-01    3.6e-04
    242      5.29e+00    5.52e+00      3.68e-03    4.22e-03      2.79e-01    2.91e-01    3.6e-04
    244      5.37e+00    5.53e+00      5.02e-03    7.28e-03      2.83e-01    2.92e-01    3.6e-04
    246      5.22e+00    5.51e+00      2.98e-03    4.04e-03      2.76e-01    2.91e-01    3.6e-04
    248      5.25e+00    5.49e+00      5.09e-03    5.45e-03      2.77e-01    2.90e-01    3.6e-04
    250      5.34e+00    5.47e+00      3.25e-03    4.45e-03      2.82e-01    2.89e-01    3.6e-04
    252      5.32e+00    5.42e+00      6.07e-03    4.60e-03      2.81e-01    2.86e-01    3.6e-04
    254      5.25e+00    5.47e+00      3.63e-03    5.79e-03      2.77e-01    2.88e-01    3.6e-04
    256      5.33e+00    5.45e+00      1.23e-02    1.07e-02      2.81e-01    2.88e-01    3.6e-04
    258      5.23e+00    5.53e+00      1.93e-02    2.10e-02      2.76e-01    2.92e-01    3.6e-04
    260      5.25e+00    5.44e+00      3.05e-02    2.78e-02      2.77e-01    2.87e-01    3.6e-04
    262      5.29e+00    5.46e+00      2.29e-02    2.47e-02      2.79e-01    2.88e-01    3.6e-04
    264      5.31e+00    5.48e+00      1.36e-02    1.19e-02      2.80e-01    2.89e-01    3.6e-04
    266      5.17e+00    5.45e+00      3.41e-03    5.43e-03      2.73e-01    2.87e-01    3.6e-04
    268      5.16e+00    5.39e+00      5.41e-03    5.60e-03      2.72e-01    2.84e-01    3.6e-04
    270      5.31e+00    5.41e+00      7.49e-03    1.04e-02      2.80e-01    2.85e-01    3.6e-04
    272      5.28e+00    5.49e+00      1.08e-02    9.19e-03      2.79e-01    2.90e-01    3.6e-04
    274      5.20e+00    5.40e+00      4.90e-03    7.33e-03      2.75e-01    2.85e-01    3.6e-04
    276      5.22e+00    5.43e+00      6.25e-03    8.16e-03      2.76e-01    2.86e-01    3.6e-04
    278      5.18e+00    5.42e+00      1.15e-02    9.62e-03      2.73e-01    2.86e-01    3.6e-04
    280      5.24e+00    5.36e+00      9.51e-03    1.23e-02      2.76e-01    2.83e-01    3.6e-04
    282      5.20e+00    5.37e+00      8.79e-03    7.91e-03      2.74e-01    2.83e-01    3.6e-04
    284      5.21e+00    5.36e+00      5.61e-03    8.09e-03      2.75e-01    2.83e-01    3.6e-04
    286      5.16e+00    5.30e+00      1.23e-02    1.12e-02      2.72e-01    2.80e-01    3.6e-04
    288      5.17e+00    5.40e+00      1.04e-02    1.31e-02      2.73e-01    2.85e-01    3.6e-04
    290      5.19e+00    5.39e+00      1.40e-02    1.29e-02      2.74e-01    2.84e-01    3.6e-04
    292      5.21e+00    5.34e+00      1.12e-02    1.35e-02      2.75e-01    2.81e-01    3.6e-04
    294      5.12e+00    5.30e+00      1.11e-02    1.02e-02      2.70e-01    2.80e-01    3.6e-04
    296      5.20e+00    5.37e+00      6.80e-03    9.66e-03      2.75e-01    2.83e-01    3.6e-04
    298      5.11e+00    5.27e+00      6.96e-03    5.93e-03      2.70e-01    2.78e-01    3.6e-04
    300      4.00e+00    4.13e+00      3.12e-03    5.69e-03      2.72e-01    2.81e-01    2.1e-04
    302      3.96e+00    4.13e+00      2.32e-03    4.91e-03      2.70e-01    2.82e-01    2.1e-04
    304      3.92e+00    4.15e+00      7.85e-03    7.26e-03      2.67e-01    2.83e-01    2.1e-04
    306      4.04e+00    4.13e+00      3.70e-03    6.22e-03      2.76e-01    2.81e-01    2.1e-04
    308      4.02e+00    4.08e+00      3.08e-03    4.25e-03      2.74e-01    2.78e-01    2.1e-04
    310      3.94e+00    4.13e+00      5.39e-03    4.36e-03      2.68e-01    2.81e-01    2.1e-04
    312      3.93e+00    4.11e+00      2.87e-03    5.60e-03      2.68e-01    2.80e-01    2.1e-04
    314      4.01e+00    4.09e+00      3.87e-03    4.19e-03      2.73e-01    2.79e-01    2.1e-04
    316      4.04e+00    4.09e+00      4.47e-03    4.75e-03      2.75e-01    2.79e-01    2.1e-04
    318      3.92e+00    4.16e+00      3.19e-03    5.02e-03      2.67e-01    2.83e-01    2.1e-04
    320      3.88e+00    4.14e+00      2.79e-03    4.17e-03      2.64e-01    2.82e-01    2.1e-04
    322      4.05e+00    4.10e+00      5.62e-03    4.36e-03      2.76e-01    2.79e-01    2.1e-04
    324      3.97e+00    4.13e+00      2.80e-03    3.94e-03      2.71e-01    2.81e-01    2.1e-04
    326      3.98e+00    4.16e+00      3.01e-03    4.99e-03      2.71e-01    2.83e-01    2.1e-04
    328      3.99e+00    4.14e+00      4.90e-03    4.80e-03      2.72e-01    2.82e-01    2.1e-04
    330      3.94e+00    4.10e+00      3.32e-03    4.28e-03      2.68e-01    2.79e-01    2.1e-04
    332      3.96e+00    4.08e+00      3.45e-03    4.08e-03      2.70e-01    2.78e-01    2.1e-04
    334      3.96e+00    4.08e+00      3.68e-03    4.23e-03      2.70e-01    2.78e-01    2.1e-04
    336      3.96e+00    4.14e+00      2.81e-03    4.71e-03      2.70e-01    2.82e-01    2.1e-04
    338      3.94e+00    4.07e+00      5.68e-03    5.48e-03      2.69e-01    2.77e-01    2.1e-04
    340      3.92e+00    4.08e+00      2.82e-03    4.49e-03      2.67e-01    2.78e-01    2.1e-04
    342      3.99e+00    4.08e+00      3.56e-03    3.60e-03      2.72e-01    2.78e-01    2.1e-04
