#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.07e+01    3.35e+01      4.20e-01    4.27e-01      9.71e-01    1.06e+00    1.0e-03
      3      3.33e+01    3.36e+01      3.79e-02    3.84e-02      1.05e+00    1.06e+00    1.0e-03
      6      3.59e+01    3.28e+01      1.82e-01    1.93e-01      1.14e+00    1.04e+00    1.0e-03
      9      2.99e+01    3.22e+01      1.35e-01    1.26e-01      9.46e-01    1.02e+00    1.0e-03
     12      3.23e+01    3.15e+01      1.59e-02    1.46e-02      1.02e+00    9.97e-01    1.0e-03
     15      2.90e+01    3.09e+01      5.91e-02    6.01e-02      9.17e-01    9.78e-01    1.0e-03
     18      3.26e+01    3.06e+01      7.91e-02    8.20e-02      1.03e+00    9.66e-01    1.0e-03
     21      3.06e+01    3.04e+01      4.44e-02    4.98e-02      9.67e-01    9.60e-01    1.0e-03
     24      2.96e+01    2.99e+01      6.17e-04    5.91e-03      9.36e-01    9.46e-01    1.0e-03
     27      2.85e+01    2.94e+01      2.48e-02    1.93e-02      9.01e-01    9.30e-01    1.0e-03
     30      3.08e+01    2.98e+01      2.17e-02    2.20e-02      9.74e-01    9.43e-01    1.0e-03
     33      2.81e+01    2.91e+01      4.89e-02    4.54e-02      8.88e-01    9.20e-01    1.0e-03
     36      2.94e+01    2.86e+01      4.28e-02    3.88e-02      9.31e-01    9.06e-01    1.0e-03
     39      2.74e+01    2.86e+01      2.53e-02    2.26e-02      8.67e-01    9.05e-01    1.0e-03
     42      2.70e+01    2.85e+01      9.58e-02    9.72e-02      8.53e-01    9.00e-01    1.0e-03
     45      2.98e+01    2.84e+01      1.50e-01    1.51e-01      9.42e-01    8.98e-01    1.0e-03
     48      2.66e+01    2.74e+01      6.78e-02    7.12e-02      8.42e-01    8.67e-01    1.0e-03
     51      2.71e+01    2.75e+01      9.89e-02    1.01e-01      8.57e-01    8.69e-01    1.0e-03
     54      2.63e+01    2.73e+01      2.15e-01    2.12e-01      8.32e-01    8.64e-01    1.0e-03
     57      2.54e+01    2.63e+01      1.47e-01    1.42e-01      8.04e-01    8.32e-01    1.0e-03
     60      2.72e+01    2.59e+01      5.52e-03    4.41e-03      8.60e-01    8.20e-01    1.0e-03
     63      2.48e+01    2.57e+01      1.33e-01    1.32e-01      7.85e-01    8.12e-01    1.0e-03
     66      2.55e+01    2.51e+01      3.41e-02    3.73e-02      8.05e-01    7.94e-01    1.0e-03
     69      2.46e+01    2.49e+01      2.44e-02    2.75e-02      7.79e-01    7.87e-01    1.0e-03
     72      2.59e+01    2.38e+01      2.86e-02    2.51e-02      8.19e-01    7.54e-01    1.0e-03
     75      2.26e+01    2.31e+01      2.34e-02    1.32e-02      7.14e-01    7.31e-01    1.0e-03
     78      2.27e+01    2.27e+01      2.19e-02    1.60e-02      7.17e-01    7.19e-01    1.0e-03
     81      2.39e+01    2.17e+01      1.49e-01    1.45e-01      7.57e-01    6.87e-01    1.0e-03
     84      2.20e+01    2.08e+01      8.57e-02    8.27e-02      6.96e-01    6.59e-01    1.0e-03
     87      2.08e+01    2.04e+01      1.00e-01    1.04e-01      6.57e-01    6.45e-01    1.0e-03
     90      2.04e+01    1.98e+01      7.43e-02    7.19e-02      6.45e-01    6.26e-01    1.0e-03
     93      2.07e+01    1.91e+01      5.65e-02    5.40e-02      6.53e-01    6.05e-01    1.0e-03
     96      1.75e+01    1.80e+01      3.97e-01    4.01e-01      5.54e-01    5.68e-01    1.0e-03
     99      1.52e+01    1.72e+01      1.43e-01    1.49e-01      4.81e-01    5.43e-01    1.0e-03
    102      1.32e+01    1.42e+01      6.11e-02    5.60e-02      4.94e-01    5.31e-01    7.1e-04
    105      1.40e+01    1.37e+01      4.77e-02    4.14e-02      5.24e-01    5.14e-01    7.1e-04
    108      1.27e+01    1.34e+01      7.86e-02    8.12e-02      4.75e-01    5.02e-01    7.1e-04
    111      1.29e+01    1.28e+01      1.44e-01    1.48e-01      4.84e-01    4.80e-01    7.1e-04
    114      1.37e+01    1.28e+01      7.05e-02    7.80e-02      5.15e-01    4.79e-01    7.1e-04
    117      1.31e+01    1.24e+01      2.06e-02    2.14e-02      4.90e-01    4.66e-01    7.1e-04
    120      1.15e+01    1.20e+01      7.15e-02    6.66e-02      4.29e-01    4.50e-01    7.1e-04
    123      1.16e+01    1.18e+01      1.76e-02    1.57e-02      4.33e-01    4.43e-01    7.1e-04
    126      1.19e+01    1.17e+01      3.08e-02    3.42e-02      4.47e-01    4.38e-01    7.1e-04
    129      1.11e+01    1.15e+01      8.41e-03    7.22e-03      4.17e-01    4.31e-01    7.1e-04
    132      1.10e+01    1.13e+01      1.46e-02    1.85e-02      4.13e-01    4.23e-01    7.1e-04
    135      1.16e+01    1.10e+01      6.21e-02    5.73e-02      4.33e-01    4.13e-01    7.1e-04
    138      1.09e+01    1.08e+01      6.43e-02    5.67e-02      4.08e-01    4.06e-01    7.1e-04
    141      1.18e+01    1.06e+01      6.20e-03    4.59e-03      4.41e-01    3.96e-01    7.1e-04
    144      1.04e+01    1.05e+01      3.92e-02    4.00e-02      3.90e-01    3.92e-01    7.1e-04
    147      1.03e+01    1.02e+01      9.91e-04    5.74e-03      3.86e-01    3.84e-01    7.1e-04
    150      1.09e+01    9.99e+00      8.30e-03    7.00e-03      4.10e-01    3.75e-01    7.1e-04
    153      1.01e+01    9.91e+00      2.63e-02    3.26e-02      3.79e-01    3.71e-01    7.1e-04
    156      9.78e+00    9.81e+00      2.23e-02    2.65e-02      3.67e-01    3.68e-01    7.1e-04
    159      9.25e+00    9.60e+00      3.52e-03    3.52e-03      3.47e-01    3.60e-01    7.1e-04
    162      9.47e+00    9.47e+00      1.32e-02    9.34e-03      3.55e-01    3.55e-01    7.1e-04
    165      9.36e+00    9.39e+00      1.05e-02    1.52e-02      3.51e-01    3.52e-01    7.1e-04
    168      8.66e+00    9.45e+00      4.57e-03    3.39e-03      3.25e-01    3.55e-01    7.1e-04
    171      1.04e+01    9.29e+00      3.24e-03    5.19e-03      3.90e-01    3.48e-01    7.1e-04
    174      9.40e+00    9.03e+00      1.50e-02    2.02e-02      3.53e-01    3.39e-01    7.1e-04
    177      8.92e+00    8.81e+00      1.02e-02    1.17e-02      3.35e-01    3.30e-01    7.1e-04
    180      8.77e+00    8.77e+00      3.25e-03    4.79e-03      3.29e-01    3.29e-01    7.1e-04
    183      8.55e+00    8.74e+00      3.90e-02    3.81e-02      3.21e-01    3.28e-01    7.1e-04
    186      8.93e+00    8.67e+00      1.91e-02    1.99e-02      3.35e-01    3.25e-01    7.1e-04
    189      9.42e+00    8.58e+00      3.01e-02    3.65e-02      3.53e-01    3.22e-01    7.1e-04
    192      8.11e+00    8.36e+00      4.12e-02    3.85e-02      3.04e-01    3.13e-01    7.1e-04
    195      8.70e+00    8.39e+00      1.01e-02    8.77e-03      3.26e-01    3.15e-01    7.1e-04
    198      8.10e+00    8.18e+00      1.57e-02    1.58e-02      3.04e-01    3.07e-01    7.1e-04
    201      7.42e+00    6.89e+00      1.64e-03    7.73e-03      3.30e-01    3.07e-01    5.0e-04
    204      6.79e+00    6.80e+00      1.39e-02    1.16e-02      3.02e-01    3.03e-01    5.0e-04
    207      6.68e+00    6.69e+00      4.63e-03    4.36e-03      2.97e-01    2.97e-01    5.0e-04
    210      6.51e+00    6.67e+00      9.23e-03    9.19e-03      2.90e-01    2.97e-01    5.0e-04
    213      6.56e+00    6.70e+00      5.06e-03    6.52e-03      2.92e-01    2.98e-01    5.0e-04
    216      6.44e+00    6.62e+00      1.73e-02    1.44e-02      2.86e-01    2.95e-01    5.0e-04
    219      7.13e+00    6.57e+00      8.35e-03    3.60e-03      3.17e-01    2.92e-01    5.0e-04
    222      6.68e+00    6.54e+00      6.90e-03    7.27e-03      2.97e-01    2.91e-01    5.0e-04
    225      6.22e+00    6.53e+00      6.75e-03    5.80e-03      2.77e-01    2.91e-01    5.0e-04
    228      6.31e+00    6.50e+00      3.59e-02    3.72e-02      2.80e-01    2.89e-01    5.0e-04
    231      6.10e+00    6.55e+00      3.10e-02    3.46e-02      2.71e-01    2.91e-01    5.0e-04
    234      6.32e+00    6.48e+00      2.08e-02    1.58e-02      2.81e-01    2.88e-01    5.0e-04
    237      6.26e+00    6.38e+00      3.10e-02    2.97e-02      2.78e-01    2.84e-01    5.0e-04
    240      6.58e+00    6.45e+00      1.40e-02    1.43e-02      2.93e-01    2.87e-01    5.0e-04
    243      6.83e+00    6.29e+00      1.84e-02    1.23e-02      3.04e-01    2.80e-01    5.0e-04
    246      6.38e+00    6.51e+00      3.45e-02    3.55e-02      2.83e-01    2.89e-01    5.0e-04
    249      7.16e+00    6.38e+00      3.63e-02    3.61e-02      3.18e-01    2.84e-01    5.0e-04
    252      6.27e+00    6.26e+00      2.10e-02    1.88e-02      2.79e-01    2.78e-01    5.0e-04
    255      6.39e+00    6.32e+00      2.63e-02    2.82e-02      2.84e-01    2.81e-01    5.0e-04
    258      6.56e+00    6.27e+00      5.56e-03    5.38e-03      2.92e-01    2.79e-01    5.0e-04
    261      6.18e+00    6.21e+00      8.45e-03    6.80e-03      2.75e-01    2.76e-01    5.0e-04
    264      5.97e+00    6.27e+00      1.65e-02    1.49e-02      2.66e-01    2.79e-01    5.0e-04
    267      6.19e+00    6.21e+00      2.08e-02    2.42e-02      2.75e-01    2.76e-01    5.0e-04
    270      6.59e+00    6.19e+00      1.90e-02    2.30e-02      2.93e-01    2.75e-01    5.0e-04
    273      6.17e+00    6.07e+00      3.29e-03    7.62e-03      2.75e-01    2.70e-01    5.0e-04
    276      6.42e+00    6.17e+00      2.09e-02    1.82e-02      2.85e-01    2.74e-01    5.0e-04
    279      6.49e+00    6.10e+00      2.24e-02    1.76e-02      2.89e-01    2.71e-01    5.0e-04
    282      5.92e+00    6.06e+00      4.36e-03    2.89e-03      2.63e-01    2.69e-01    5.0e-04
    285      5.97e+00    6.13e+00      3.55e-03    2.56e-03      2.66e-01    2.73e-01    5.0e-04
    288      5.80e+00    6.11e+00      5.22e-03    3.28e-03      2.58e-01    2.72e-01    5.0e-04
    291      6.03e+00    6.02e+00      6.83e-04    2.32e-03      2.68e-01    2.68e-01    5.0e-04
    294      5.91e+00    6.03e+00      7.75e-03    6.22e-03      2.63e-01    2.68e-01    5.0e-04
    297      5.82e+00    6.01e+00      3.44e-03    2.52e-03      2.59e-01    2.67e-01    5.0e-04
    300      5.05e+00    5.06e+00      4.12e-03    2.84e-03      2.67e-01    2.67e-01    3.6e-04
    303      5.32e+00    5.02e+00      5.62e-03    2.18e-03      2.81e-01    2.65e-01    3.6e-04
    306      5.06e+00    4.90e+00      5.68e-03    4.49e-03      2.67e-01    2.58e-01    3.6e-04
    309      5.17e+00    4.97e+00      9.63e-04    2.25e-03      2.73e-01    2.62e-01    3.6e-04
    312      4.93e+00    5.01e+00      1.04e-02    6.96e-03      2.60e-01    2.64e-01    3.6e-04
    315      5.03e+00    4.98e+00      1.32e-03    2.80e-03      2.65e-01    2.63e-01    3.6e-04
    318      4.59e+00    4.94e+00      8.84e-03    1.02e-02      2.42e-01    2.61e-01    3.6e-04
    321      4.77e+00    4.87e+00      8.75e-03    1.05e-02      2.52e-01    2.57e-01    3.6e-04
    324      4.90e+00    5.00e+00      4.24e-03    2.70e-03      2.59e-01    2.64e-01    3.6e-04
    327      4.83e+00    4.93e+00      6.09e-03    4.11e-03      2.55e-01    2.60e-01    3.6e-04
    330      4.85e+00    4.90e+00      2.60e-03    2.55e-03      2.56e-01    2.59e-01    3.6e-04
    333      5.11e+00    4.84e+00      1.45e-04    3.20e-03      2.70e-01    2.55e-01    3.6e-04
    336      4.60e+00    4.88e+00      1.05e-02    7.94e-03      2.43e-01    2.57e-01    3.6e-04
    339      5.26e+00    4.92e+00      6.24e-04    3.33e-03      2.78e-01    2.59e-01    3.6e-04
    342      4.83e+00    4.87e+00      1.07e-02    8.74e-03      2.55e-01    2.57e-01    3.6e-04
    345      4.76e+00    4.83e+00      8.74e-03    7.66e-03      2.51e-01    2.55e-01    3.6e-04
    348      4.65e+00    4.88e+00      1.27e-03    1.91e-03      2.46e-01    2.58e-01    3.6e-04
    351      4.98e+00    4.82e+00      8.70e-03    9.48e-03      2.63e-01    2.54e-01    3.6e-04
    354      4.91e+00    4.78e+00      4.17e-03    4.40e-03      2.59e-01    2.52e-01    3.6e-04
    357      5.17e+00    4.86e+00      1.08e-03    5.46e-03      2.73e-01    2.56e-01    3.6e-04
    360      4.61e+00    4.91e+00      1.10e-02    1.08e-02      2.43e-01    2.59e-01    3.6e-04
    363      4.65e+00    4.85e+00      1.26e-02    1.11e-02      2.45e-01    2.56e-01    3.6e-04
    366      4.76e+00    4.86e+00      1.12e-02    7.42e-03      2.51e-01    2.56e-01    3.6e-04
    369      4.77e+00    4.79e+00      1.28e-02    1.42e-02      2.52e-01    2.53e-01    3.6e-04
    372      5.44e+00    4.69e+00      1.20e-04    2.62e-03      2.87e-01    2.47e-01    3.6e-04
    375      5.42e+00    4.83e+00      1.24e-02    1.28e-02      2.86e-01    2.55e-01    3.6e-04
    378      4.85e+00    4.76e+00      5.44e-03    6.39e-03      2.56e-01    2.51e-01    3.6e-04
    381      5.13e+00    4.78e+00      6.75e-03    4.10e-03      2.70e-01    2.52e-01    3.6e-04
    384      4.61e+00    4.78e+00      1.10e-03    2.16e-03      2.43e-01    2.52e-01    3.6e-04
    387      4.71e+00    4.76e+00      1.81e-03    2.92e-03      2.48e-01    2.51e-01    3.6e-04
    390      4.82e+00    4.77e+00      9.51e-03    8.02e-03      2.54e-01    2.52e-01    3.6e-04
    393      4.70e+00    4.76e+00      4.29e-03    6.35e-03      2.48e-01    2.51e-01    3.6e-04
    396      4.38e+00    4.69e+00      1.01e-02    1.04e-02      2.31e-01    2.48e-01    3.6e-04
    399      4.63e+00    4.75e+00      1.34e-02    1.20e-02      2.44e-01    2.51e-01    3.6e-04
    402      4.10e+00    4.02e+00      3.12e-03    3.42e-03      2.56e-01    2.52e-01    2.5e-04
    405      3.80e+00    3.99e+00      5.59e-03    3.54e-03      2.38e-01    2.49e-01    2.5e-04
    408      3.94e+00    3.99e+00      7.25e-03    9.25e-03      2.46e-01    2.49e-01    2.5e-04
    411      3.93e+00    3.97e+00      7.10e-03    4.76e-03      2.46e-01    2.49e-01    2.5e-04
    414      3.77e+00    4.03e+00      7.23e-04    2.25e-03      2.36e-01    2.52e-01    2.5e-04
    417      4.12e+00    3.97e+00      2.95e-03    3.54e-03      2.58e-01    2.49e-01    2.5e-04
    420      3.72e+00    3.96e+00      8.69e-03    6.22e-03      2.33e-01    2.47e-01    2.5e-04
    423      3.92e+00    3.92e+00      4.41e-03    2.74e-03      2.45e-01    2.45e-01    2.5e-04
    426      4.10e+00    3.99e+00      6.58e-03    7.52e-03      2.56e-01    2.50e-01    2.5e-04
