#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   1140      4.64e+00    4.80e+00      1.94e-02    1.94e-02      1.47e-01    1.52e-01    1.0e-03
   1159      4.73e+00    4.91e+00      9.65e-03    9.91e-03      1.50e-01    1.55e-01    1.0e-03
   1178      4.70e+00    4.89e+00      1.63e-02    1.59e-02      1.49e-01    1.55e-01    1.0e-03
   1197      4.64e+00    4.77e+00      9.65e-03    1.01e-02      1.47e-01    1.51e-01    1.0e-03
   1216      4.78e+00    4.90e+00      4.34e-02    4.34e-02      1.51e-01    1.55e-01    1.0e-03
   1235      4.78e+00    4.92e+00      4.71e-02    4.78e-02      1.51e-01    1.56e-01    1.0e-03
   1254      5.03e+00    5.26e+00      4.69e-03    4.76e-03      1.59e-01    1.66e-01    1.0e-03
   1273      4.86e+00    4.99e+00      2.22e-02    2.21e-02      1.54e-01    1.58e-01    1.0e-03
   1292      4.51e+00    4.66e+00      7.02e-02    6.99e-02      1.43e-01    1.47e-01    1.0e-03
   1311      4.57e+00    4.65e+00      1.28e-02    1.33e-02      1.44e-01    1.47e-01    1.0e-03
   1330      4.40e+00    4.79e+00      5.26e-03    5.84e-03      1.39e-01    1.52e-01    1.0e-03
   1349      4.84e+00    4.74e+00      2.07e-03    1.83e-03      1.53e-01    1.50e-01    1.0e-03
   1368      4.68e+00    4.91e+00      2.19e-02    2.25e-02      1.48e-01    1.55e-01    1.0e-03
   1387      4.28e+00    4.61e+00      8.18e-02    8.13e-02      1.35e-01    1.46e-01    1.0e-03
   1406      5.25e+00    5.15e+00      1.30e-02    1.26e-02      1.66e-01    1.63e-01    1.0e-03
   1425      4.60e+00    4.70e+00      4.09e-02    4.10e-02      1.46e-01    1.49e-01    1.0e-03
   1444      4.48e+00    4.68e+00      1.58e-02    1.57e-02      1.42e-01    1.48e-01    1.0e-03
   1463      4.55e+00    4.81e+00      9.54e-03    1.01e-02      1.44e-01    1.52e-01    1.0e-03
   1482      4.46e+00    4.51e+00      2.55e-02    2.49e-02      1.41e-01    1.43e-01    1.0e-03
   1501      4.82e+00    4.94e+00      7.96e-02    7.94e-02      1.52e-01    1.56e-01    1.0e-03
   1520      4.42e+00    4.48e+00      1.73e-03    1.25e-03      1.40e-01    1.42e-01    1.0e-03
   1539      4.52e+00    4.64e+00      2.15e-02    2.22e-02      1.43e-01    1.47e-01    1.0e-03
   1558      4.38e+00    4.63e+00      2.68e-02    2.61e-02      1.38e-01    1.46e-01    1.0e-03
   1577      4.72e+00    4.95e+00      3.45e-02    3.46e-02      1.49e-01    1.56e-01    1.0e-03
   1596      4.43e+00    4.55e+00      5.49e-02    5.47e-02      1.40e-01    1.44e-01    1.0e-03
   1615      4.49e+00    4.45e+00      5.71e-03    5.46e-03      1.42e-01    1.41e-01    1.0e-03
   1634      4.37e+00    4.48e+00      2.23e-02    2.22e-02      1.38e-01    1.42e-01    1.0e-03
   1653      4.42e+00    4.79e+00      4.86e-02    4.89e-02      1.40e-01    1.51e-01    1.0e-03
   1672      4.62e+00    4.47e+00      1.01e-02    9.78e-03      1.46e-01    1.41e-01    1.0e-03
   1691      4.29e+00    4.53e+00      1.21e-02    1.21e-02      1.36e-01    1.43e-01    1.0e-03
   1710      4.30e+00    4.45e+00      2.97e-02    2.94e-02      1.36e-01    1.41e-01    1.0e-03
   1729      4.70e+00    4.64e+00      4.46e-02    4.43e-02      1.49e-01    1.47e-01    1.0e-03
   1748      4.42e+00    4.57e+00      3.56e-02    3.52e-02      1.40e-01    1.45e-01    1.0e-03
   1767      4.75e+00    4.71e+00      2.54e-02    2.54e-02      1.50e-01    1.49e-01    1.0e-03
   1786      4.27e+00    4.50e+00      6.90e-03    7.24e-03      1.35e-01    1.42e-01    1.0e-03
   1805      4.28e+00    4.57e+00      3.13e-03    2.90e-03      1.35e-01    1.44e-01    1.0e-03
   1824      4.41e+00    4.56e+00      6.69e-03    6.91e-03      1.39e-01    1.44e-01    1.0e-03
   1843      4.38e+00    4.53e+00      2.07e-02    2.07e-02      1.38e-01    1.43e-01    1.0e-03
   1862      5.16e+00    5.15e+00      4.14e-02    4.14e-02      1.63e-01    1.63e-01    1.0e-03
   1881      4.35e+00    4.33e+00      1.46e-02    1.50e-02      1.38e-01    1.37e-01    1.0e-03
   1900      4.37e+00    4.41e+00      6.95e-02    6.99e-02      1.38e-01    1.39e-01    1.0e-03
   1919      4.40e+00    4.31e+00      1.29e-02    1.31e-02      1.39e-01    1.36e-01    1.0e-03
