Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -660.734     -665.216        4.482   333.4
0.0500         -659.253     -662.088        2.835   210.9
0.1000         -658.691     -661.896        3.206   238.5
0.1500         -657.748     -661.621        3.873   288.1
0.2000         -656.793     -660.735        3.942   293.3
0.2500         -656.726     -661.225        4.499   334.7
0.3000         -656.099     -660.534        4.435   329.9
0.3500         -656.315     -660.833        4.518   336.1
0.4000         -656.549     -660.145        3.596   267.5
0.4500         -657.011     -660.864        3.853   286.6
0.5000         -657.343     -660.876        3.534   262.9
0.5500         -656.180     -660.607        4.428   329.4
0.6000         -656.391     -660.940        4.550   338.4
0.6500         -655.846     -660.279        4.433   329.7
0.7000         -656.314     -660.595        4.281   318.5
0.7500         -656.019     -660.456        4.437   330.1
0.8000         -656.650     -660.855        4.205   312.8
0.8500         -656.785     -661.022        4.237   315.2
0.9000         -656.249     -660.704        4.456   331.4
0.9500         -656.414     -660.468        4.054   301.6
1.0000         -656.116     -660.755        4.639   345.1
1.0500         -656.324     -660.943        4.619   343.6
1.1000         -656.175     -660.380        4.206   312.8
1.1500         -656.466     -660.864        4.398   327.2
1.2000         -657.003     -660.827        3.824   284.5
1.2500         -657.393     -661.347        3.955   294.2
1.3000         -656.994     -661.010        4.016   298.8
1.3500         -655.824     -660.557        4.732   352.0
1.4000         -656.608     -660.468        3.859   287.1
1.4500         -656.994     -660.794        3.800   282.7
1.5000         -656.784     -660.654        3.870   287.9
1.5500         -655.822     -660.217        4.395   326.9
1.6000         -655.812     -660.339        4.527   336.7
1.6500         -656.918     -660.479        3.561   264.9
1.7000         -656.428     -660.840        4.412   328.2
1.7500         -655.950     -660.166        4.216   313.6
1.8000         -655.498     -660.147        4.649   345.8
1.8500         -656.385     -660.855        4.470   332.5
1.9000         -656.836     -660.716        3.880   288.6
1.9500         -655.916     -660.262        4.346   323.3
2.0000         -655.954     -660.353        4.398   327.2
2.0500         -656.136     -660.662        4.526   336.7
2.1000         -656.253     -660.345        4.092   304.4
2.1500         -656.600     -660.733        4.133   307.4
2.2000         -657.267     -661.242        3.975   295.7
2.2500         -657.384     -660.835        3.451   256.7
2.3000         -657.122     -660.877        3.755   279.3
2.3500         -657.546     -661.051        3.504   260.7
2.4000         -656.197     -660.616        4.420   328.8
2.4500         -657.083     -660.927        3.844   285.9
2.5000         -656.199     -660.320        4.121   306.6
2.5500         -655.987     -660.707        4.720   351.1
2.6000         -655.787     -660.331        4.544   338.0
2.6500         -656.194     -660.285        4.091   304.3
2.7000         -656.365     -660.260        3.895   289.7
2.7500         -656.481     -660.240        3.759   279.6
2.8000         -656.341     -660.588        4.247   315.9
2.8500         -656.062     -660.558        4.497   334.5
2.9000         -655.769     -660.347        4.577   340.5
2.9500         -655.644     -660.052        4.408   327.9
3.0000         -655.804     -660.034        4.231   314.7
3.0500         -655.703     -660.278        4.575   340.3
3.1000         -655.013     -659.829        4.816   358.2
3.1500         -656.380     -660.632        4.251   316.2
3.2000         -656.499     -660.751        4.251   316.3
3.2500         -656.501     -660.753        4.252   316.3
3.3000         -656.008     -659.998        3.989   296.8
3.3500         -656.515     -661.003        4.487   333.8
3.4000         -656.345     -660.574        4.229   314.6
3.4500         -655.779     -660.414        4.635   344.8
3.5000         -656.318     -660.285        3.968   295.2
3.5500         -656.832     -660.683        3.850   286.4
3.6000         -656.808     -660.639        3.832   285.0
3.6500         -656.160     -660.645        4.485   333.6
