#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.16e+01    3.16e+01      4.45e-01    4.46e-01      1.00e+00    1.00e+00    1.0e-03
     19      2.79e+01    2.94e+01      5.62e-02    6.19e-02      8.82e-01    9.30e-01    1.0e-03
     38      2.74e+01    2.74e+01      9.83e-02    1.03e-01      8.66e-01    8.65e-01    1.0e-03
     57      2.54e+01    2.43e+01      5.56e-02    6.16e-02      8.03e-01    7.70e-01    1.0e-03
     76      1.97e+01    1.99e+01      6.29e-01    6.29e-01      6.21e-01    6.29e-01    1.0e-03
     95      1.60e+01    1.62e+01      7.43e-02    7.60e-02      5.07e-01    5.13e-01    1.0e-03
    114      1.27e+01    1.24e+01      3.67e-01    3.67e-01      4.00e-01    3.91e-01    1.0e-03
    133      1.08e+01    1.04e+01      2.08e-01    2.08e-01      3.41e-01    3.30e-01    1.0e-03
    152      9.71e+00    9.82e+00      2.33e-03    4.99e-03      3.07e-01    3.10e-01    1.0e-03
    171      8.79e+00    9.17e+00      1.02e-01    1.02e-01      2.78e-01    2.90e-01    1.0e-03
    190      9.07e+00    8.91e+00      2.11e-02    2.09e-02      2.87e-01    2.82e-01    1.0e-03
    209      8.44e+00    8.30e+00      4.11e-02    4.06e-02      2.67e-01    2.62e-01    1.0e-03
    228      7.95e+00    8.07e+00      2.00e-02    1.97e-02      2.52e-01    2.55e-01    1.0e-03
    247      8.34e+00    8.23e+00      3.51e-02    3.39e-02      2.64e-01    2.60e-01    1.0e-03
    266      7.88e+00    7.73e+00      8.31e-02    8.22e-02      2.49e-01    2.44e-01    1.0e-03
    285      7.38e+00    7.69e+00      4.24e-02    4.33e-02      2.33e-01    2.43e-01    1.0e-03
    304      7.77e+00    7.58e+00      5.92e-02    6.13e-02      2.46e-01    2.40e-01    1.0e-03
    323      7.19e+00    7.42e+00      7.30e-02    7.47e-02      2.27e-01    2.35e-01    1.0e-03
    342      7.12e+00    7.18e+00      1.04e-02    1.04e-02      2.25e-01    2.27e-01    1.0e-03
    361      7.06e+00    7.47e+00      1.19e-01    1.19e-01      2.23e-01    2.36e-01    1.0e-03
    380      7.55e+00    7.72e+00      2.14e-02    2.38e-02      2.39e-01    2.44e-01    1.0e-03
    399      7.06e+00    6.96e+00      7.38e-02    7.23e-02      2.23e-01    2.20e-01    1.0e-03
    418      7.63e+00    7.22e+00      1.35e-02    1.22e-02      2.41e-01    2.28e-01    1.0e-03
    437      6.28e+00    6.86e+00      3.33e-02    3.32e-02      1.99e-01    2.17e-01    1.0e-03
    456      6.88e+00    6.71e+00      1.63e-02    1.64e-02      2.17e-01    2.12e-01    1.0e-03
    475      6.74e+00    6.65e+00      3.96e-03    3.53e-03      2.13e-01    2.10e-01    1.0e-03
    494      6.38e+00    6.52e+00      1.35e-02    1.37e-02      2.02e-01    2.06e-01    1.0e-03
    513      6.00e+00    6.57e+00      1.26e-01    1.26e-01      1.90e-01    2.08e-01    1.0e-03
    532      6.62e+00    6.62e+00      2.37e-02    2.45e-02      2.09e-01    2.09e-01    1.0e-03
    551      6.01e+00    6.58e+00      3.26e-02    3.48e-02      1.90e-01    2.08e-01    1.0e-03
    570      5.92e+00    6.47e+00      3.84e-03    4.41e-03      1.87e-01    2.05e-01    1.0e-03
    589      6.27e+00    6.35e+00      7.28e-02    7.18e-02      1.98e-01    2.01e-01    1.0e-03
    608      6.29e+00    6.31e+00      4.56e-02    4.76e-02      1.99e-01    2.00e-01    1.0e-03
    627      6.77e+00    6.82e+00      3.26e-02    3.14e-02      2.14e-01    2.16e-01    1.0e-03
    646      5.73e+00    5.90e+00      4.15e-02    4.10e-02      1.81e-01    1.87e-01    1.0e-03
    665      6.08e+00    6.14e+00      1.49e-02    1.47e-02      1.92e-01    1.94e-01    1.0e-03
    684      5.77e+00    6.14e+00      2.02e-02    2.11e-02      1.82e-01    1.94e-01    1.0e-03
    703      5.77e+00    6.25e+00      4.32e-02    4.45e-02      1.83e-01    1.98e-01    1.0e-03
    722      5.50e+00    5.95e+00      9.56e-02    9.38e-02      1.74e-01    1.88e-01    1.0e-03
    741      6.22e+00    6.26e+00      1.10e-02    1.03e-02      1.97e-01    1.98e-01    1.0e-03
    760      5.63e+00    5.92e+00      6.17e-02    6.21e-02      1.78e-01    1.87e-01    1.0e-03
    779      6.21e+00    5.98e+00      5.96e-02    5.99e-02      1.96e-01    1.89e-01    1.0e-03
    798      6.47e+00    6.16e+00      4.69e-02    4.77e-02      2.04e-01    1.95e-01    1.0e-03
    817      5.13e+00    5.88e+00      3.33e-02    3.36e-02      1.62e-01    1.86e-01    1.0e-03
    836      5.99e+00    5.97e+00      4.88e-02    4.91e-02      1.89e-01    1.89e-01    1.0e-03
    855      5.64e+00    5.91e+00      1.75e-03    2.54e-03      1.78e-01    1.87e-01    1.0e-03
    874      5.21e+00    5.71e+00      6.28e-03    7.08e-03      1.65e-01    1.81e-01    1.0e-03
    893      5.42e+00    5.81e+00      4.60e-02    4.48e-02      1.71e-01    1.84e-01    1.0e-03
    912      5.50e+00    5.46e+00      8.45e-03    9.83e-03      1.74e-01    1.73e-01    1.0e-03
    931      4.93e+00    5.66e+00      1.49e-02    1.42e-02      1.56e-01    1.79e-01    1.0e-03
    950      6.46e+00    6.35e+00      6.09e-02    6.05e-02      2.04e-01    2.01e-01    1.0e-03
    969      5.17e+00    5.67e+00      1.04e-01    1.03e-01      1.63e-01    1.79e-01    1.0e-03
    988      5.19e+00    5.56e+00      8.00e-03    8.87e-03      1.64e-01    1.76e-01    1.0e-03
   1007      5.61e+00    5.54e+00      5.97e-03    6.36e-03      1.77e-01    1.75e-01    1.0e-03
   1026      4.98e+00    5.58e+00      2.82e-02    2.68e-02      1.58e-01    1.76e-01    1.0e-03
   1045      4.96e+00    5.57e+00      2.92e-02    3.00e-02      1.57e-01    1.76e-01    1.0e-03
   1064      5.64e+00    5.46e+00      1.10e-01    1.07e-01      1.78e-01    1.73e-01    1.0e-03
   1083      5.30e+00    5.59e+00      3.02e-02    3.04e-02      1.68e-01    1.77e-01    1.0e-03
   1102      4.82e+00    5.39e+00      4.80e-03    4.05e-03      1.52e-01    1.70e-01    1.0e-03
   1121      5.74e+00    5.70e+00      3.38e-02    3.36e-02      1.81e-01    1.80e-01    1.0e-03
   1140      5.11e+00    5.58e+00      5.42e-03    5.73e-03      1.62e-01    1.77e-01    1.0e-03
   1159      4.90e+00    5.35e+00      5.04e-03    6.08e-03      1.55e-01    1.69e-01    1.0e-03
   1178      6.34e+00    6.60e+00      3.43e-02    3.38e-02      2.00e-01    2.09e-01    1.0e-03
   1197      5.02e+00    5.34e+00      3.37e-02    3.35e-02      1.59e-01    1.69e-01    1.0e-03
   1216      5.50e+00    5.42e+00      7.33e-03    8.34e-03      1.74e-01    1.72e-01    1.0e-03
   1235      5.86e+00    5.71e+00      6.34e-02    6.14e-02      1.85e-01    1.81e-01    1.0e-03
   1254      5.20e+00    5.46e+00      7.44e-02    7.38e-02      1.65e-01    1.73e-01    1.0e-03
   1273      4.81e+00    5.32e+00      9.45e-03    1.12e-02      1.52e-01    1.68e-01    1.0e-03
   1292      5.39e+00    5.46e+00      2.31e-02    2.25e-02      1.70e-01    1.73e-01    1.0e-03
   1311      5.86e+00    5.87e+00      1.27e-02    1.48e-02      1.85e-01    1.86e-01    1.0e-03
   1330      4.61e+00    5.21e+00      4.62e-02    4.47e-02      1.46e-01    1.65e-01    1.0e-03
   1349      4.59e+00    5.34e+00      5.60e-03    4.90e-03      1.45e-01    1.69e-01    1.0e-03
   1368      5.04e+00    5.47e+00      1.12e-02    1.15e-02      1.59e-01    1.73e-01    1.0e-03
   1387      5.05e+00    5.26e+00      4.41e-02    4.34e-02      1.60e-01    1.66e-01    1.0e-03
   1406      5.13e+00    5.25e+00      2.21e-02    2.31e-02      1.62e-01    1.66e-01    1.0e-03
   1425      4.69e+00    5.38e+00      2.40e-02    2.36e-02      1.48e-01    1.70e-01    1.0e-03
   1444      5.35e+00    5.24e+00      4.55e-02    4.55e-02      1.69e-01    1.66e-01    1.0e-03
   1463      5.07e+00    5.42e+00      3.23e-02    3.28e-02      1.60e-01    1.71e-01    1.0e-03
   1482      4.90e+00    5.19e+00      4.19e-02    4.24e-02      1.55e-01    1.64e-01    1.0e-03
   1501      5.17e+00    5.07e+00      5.73e-03    5.45e-03      1.64e-01    1.60e-01    1.0e-03
   1520      5.66e+00    5.74e+00      5.87e-02    5.91e-02      1.79e-01    1.81e-01    1.0e-03
   1539      4.83e+00    5.05e+00      2.68e-02    2.74e-02      1.53e-01    1.60e-01    1.0e-03
   1558      4.79e+00    5.53e+00      5.15e-02    5.17e-02      1.52e-01    1.75e-01    1.0e-03
   1577      4.47e+00    5.21e+00      1.66e-02    1.43e-02      1.41e-01    1.65e-01    1.0e-03
   1596      4.57e+00    5.08e+00      2.32e-03    1.96e-03      1.45e-01    1.61e-01    1.0e-03
   1615      5.27e+00    5.18e+00      3.90e-02    3.93e-02      1.67e-01    1.64e-01    1.0e-03
   1634      4.65e+00    5.07e+00      7.14e-02    7.20e-02      1.47e-01    1.60e-01    1.0e-03
   1653      5.16e+00    5.06e+00      8.25e-03    8.86e-03      1.63e-01    1.60e-01    1.0e-03
   1672      4.86e+00    5.49e+00      2.68e-02    2.74e-02      1.54e-01    1.74e-01    1.0e-03
   1691      4.77e+00    5.33e+00      2.81e-02    2.64e-02      1.51e-01    1.69e-01    1.0e-03
   1710      4.89e+00    5.16e+00      3.61e-02    3.66e-02      1.55e-01    1.63e-01    1.0e-03
   1729      6.74e+00    7.03e+00      5.13e-02    5.23e-02      2.13e-01    2.22e-01    1.0e-03
   1748      5.06e+00    5.14e+00      5.22e-02    5.23e-02      1.60e-01    1.63e-01    1.0e-03
   1767      4.68e+00    5.05e+00      1.90e-02    1.80e-02      1.48e-01    1.60e-01    1.0e-03
   1786      4.59e+00    5.11e+00      2.17e-02    2.13e-02      1.45e-01    1.61e-01    1.0e-03
   1805      5.17e+00    4.97e+00      2.09e-03    2.09e-03      1.63e-01    1.57e-01    1.0e-03
   1824      4.62e+00    4.99e+00      8.67e-03    9.65e-03      1.46e-01    1.58e-01    1.0e-03
   1843      4.90e+00    5.04e+00      4.82e-03    6.75e-03      1.55e-01    1.59e-01    1.0e-03
   1862      5.36e+00    5.10e+00      6.29e-03    5.78e-03      1.69e-01    1.61e-01    1.0e-03
   1881      4.50e+00    4.98e+00      2.42e-02    2.14e-02      1.42e-01    1.58e-01    1.0e-03
   1900      5.62e+00    5.62e+00      4.10e-02    3.91e-02      1.78e-01    1.78e-01    1.0e-03
   1919      4.75e+00    4.92e+00      4.84e-02    4.80e-02      1.50e-01    1.55e-01    1.0e-03
   1938      4.74e+00    5.01e+00      2.18e-02    2.21e-02      1.50e-01    1.58e-01    1.0e-03
