Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
6.0500        -452.0243    -454.3914       2.3671   295.4
6.1000        -452.1381    -454.4217       2.2836   284.9
6.1500        -451.8245    -454.3841       2.5597   319.4
6.2000        -452.1067    -454.1371       2.0304   253.3
6.2500        -451.9255    -454.2872       2.3617   294.7
6.3000        -451.4049    -453.9047       2.4998   311.9
6.3500        -450.8589    -453.4614       2.6025   324.7
6.4000        -451.7954    -454.0615       2.2662   282.8
6.4500        -451.6386    -454.1491       2.5105   313.3
6.5000        -451.4295    -453.8261       2.3966   299.1
6.5500        -451.4602    -454.0275       2.5673   320.3
6.6000        -451.8310    -454.2024       2.3714   295.9
6.6500        -451.3919    -453.8108       2.4190   301.8
6.7000        -451.6139    -453.9712       2.3573   294.1
6.7500        -451.5050    -454.1980       2.6929   336.0
6.8000        -451.4848    -453.7944       2.3096   288.2
6.8500        -451.8195    -454.0978       2.2783   284.3
6.9000        -451.4502    -453.6335       2.1833   272.4
6.9500        -451.2891    -454.1723       2.8832   359.8
7.0000        -451.5007    -454.2072       2.7066   337.7
7.0500        -451.6547    -453.8601       2.2054   275.2
7.1000        -451.6013    -454.0627       2.4614   307.1
7.1500        -451.5198    -454.2385       2.7186   339.2
7.2000        -451.8840    -454.2870       2.4030   299.8
7.2500        -451.7961    -454.0762       2.2801   284.5
7.3000        -451.4757    -454.0343       2.5586   319.3
7.3500        -451.7261    -454.0630       2.3369   291.6
7.4000        -451.6373    -454.0667       2.4294   303.1
7.4500        -451.3341    -453.9528       2.6187   326.8
7.5000        -451.1668    -453.7262       2.5595   319.4
7.5500        -451.5789    -454.0460       2.4670   307.8
7.6000        -451.9095    -454.1998       2.2903   285.8
7.6500        -451.7535    -454.6079       2.8544   356.2
7.7000        -452.1426    -453.9780       1.8355   229.0
7.7500        -452.1556    -454.2307       2.0752   258.9
7.8000        -451.9460    -454.2859       2.3399   292.0
7.8500        -452.1155    -454.3489       2.2334   278.7
7.9000        -451.7621    -454.0682       2.3061   287.8
7.9500        -451.8632    -453.9711       2.1079   263.0
8.0000        -451.8474    -454.0417       2.1943   273.8
8.0500        -451.4956    -454.0044       2.5088   313.0
8.1000        -451.9061    -454.0629       2.1568   269.1
8.1500        -451.9106    -453.9925       2.0819   259.8
8.2000        -452.3714    -454.3952       2.0238   252.5
8.2500        -452.2909    -454.4096       2.1188   264.4
8.3000        -452.0338    -454.2893       2.2554   281.4
8.3500        -451.7127    -453.8404       2.1277   265.5
8.4000        -451.7048    -454.1873       2.4824   309.8
8.4500        -451.3882    -453.9151       2.5268   315.3
8.5000        -451.8578    -454.1136       2.2559   281.5
8.5500        -451.9251    -453.8163       1.8912   236.0
8.6000        -452.1098    -454.3323       2.2225   277.3
8.6500        -451.4227    -453.6414       2.2188   276.9
8.7000        -451.5738    -454.0233       2.4494   305.6
8.7500        -451.9227    -454.1467       2.2241   277.5
8.8000        -451.8905    -454.1621       2.2716   283.5
8.8500        -451.5414    -453.7345       2.1931   273.7
8.9000        -451.7731    -453.9765       2.2034   274.9
8.9500        -451.4052    -454.1203       2.7152   338.8
