epoch,lr_schedule,step,test_energy_mae,test_energy_rmse,test_forces_mae,test_forces_rmse,test_loss,train_energy_mae,train_energy_rmse,train_forces_mae,train_forces_rmse,train_loss,val_energy_mae,val_energy_rmse,val_forces_mae,val_forces_rmse,val_loss
,0.001,0,,,,,,,,,,,,,,,
0,,49,,,,,,2.928730010986328,3.301062822341919,0.6247566342353821,0.8473941087722778,0.8198662400245667,,,,,
0,,94,,,,,,,,,,,1.8175406455993652,2.002669095993042,0.6136825084686279,0.8505686521530151,0.7563391923904419
,0.001,95,,,,,,,,,,,,,,,
1,,99,,,,,,2.16051983833313,2.262237548828125,0.574342668056488,0.7903146743774414,0.669528603553772,,,,,
1,,149,,,,,,1.7809064388275146,1.9414219856262207,0.5908359885215759,0.8331869840621948,0.7249497771263123,,,,,
1,,189,,,,,,,,,,,1.5514731407165527,1.7076175212860107,0.4596124291419983,0.6338621973991394,0.42692309617996216
,0.001,190,,,,,,,,,,,,,,,
2,,199,,,,,,1.0111182928085327,1.2065379619598389,0.4180273711681366,0.565898597240448,0.3315961956977844,,,,,
2,,249,,,,,,1.1946280002593994,1.4807469844818115,0.338902086019516,0.44830331206321716,0.22089223563671112,,,,,
2,,284,,,,,,,,,,,1.0099995136260986,1.2126377820968628,0.3544127345085144,0.481606125831604,0.24432994425296783
,0.001,285,,,,,,,,,,,,,,,
3,,299,,,,,,1.1527971029281616,1.4930663108825684,0.3556775152683258,0.4815569818019867,0.25187063217163086,,,,,
3,,349,,,,,,1.0601046085357666,1.1856420040130615,0.2975686490535736,0.399062842130661,0.17171610891819,,,,,
3,,379,,,,,,,,,,,0.6852176785469055,0.8771174550056458,0.3059086501598358,0.41311347484588623,0.17664948105812073
,0.001,380,,,,,,,,,,,,,,,
4,,399,,,,,,0.627598226070404,0.8323747515678406,0.29018455743789673,0.4054138958454132,0.16964532434940338,,,,,
4,,449,,,,,,1.3673549890518188,1.4590789079666138,0.2631952166557312,0.35139739513397217,0.14353445172309875,,,,,
4,,474,,,,,,,,,,,0.5400385856628418,0.6823265552520752,0.27349257469177246,0.3689703345298767,0.13943342864513397
,0.001,475,,,,,,,,,,,,,,,
5,,499,,,,,,1.4411115646362305,1.4894986152648926,0.24024751782417297,0.3164269030094147,0.12131080031394958,,,,,
5,,549,,,,,,1.1314706802368164,1.2267122268676758,0.23613111674785614,0.3156903386116028,0.11371202021837234,,,,,
5,,569,,,,,,,,,,,0.4645494818687439,0.5793659090995789,0.2514132857322693,0.33868709206581116,0.11691849678754807
,0.001,570,,,,,,,,,,,,,,,
6,,599,,,,,,2.1695666313171387,2.220654010772705,0.2369702309370041,0.32322657108306885,0.15274369716644287,,,,,
6,,649,,,,,,1.0515257120132446,1.1243458986282349,0.21936185657978058,0.29902198910713196,0.10116154700517654,,,,,
6,,664,,,,,,,,,,,0.4101680815219879,0.512198269367218,0.2346520572900772,0.3154906630516052,0.10116249322891235
,0.001,665,,,,,,,,,,,,,,,
7,,699,,,,,,0.43931716680526733,0.5504807829856873,0.21178987622261047,0.28456518054008484,0.08319786190986633,,,,,
7,,749,,,,,,0.8990165591239929,1.009182333946228,0.22078323364257812,0.2937612533569336,0.09561720490455627,,,,,
