#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.36e+01    3.50e+01      4.28e-01    4.30e-01      1.06e+00    1.11e+00    1.0e-03
      2      3.36e+01    3.45e+01      1.86e-01    1.84e-01      1.06e+00    1.09e+00    1.0e-03
      4      3.27e+01    3.36e+01      7.10e-03    1.53e-02      1.03e+00    1.06e+00    1.0e-03
      6      3.35e+01    3.31e+01      1.11e-01    1.14e-01      1.06e+00    1.05e+00    1.0e-03
      8      3.22e+01    3.38e+01      1.48e-01    1.47e-01      1.02e+00    1.07e+00    1.0e-03
     10      3.23e+01    3.33e+01      1.38e-01    1.40e-01      1.02e+00    1.05e+00    1.0e-03
     12      3.15e+01    3.30e+01      1.12e-01    1.12e-01      9.98e-01    1.05e+00    1.0e-03
     14      3.12e+01    3.23e+01      7.44e-02    7.44e-02      9.88e-01    1.02e+00    1.0e-03
     16      3.11e+01    3.21e+01      2.69e-02    3.06e-02      9.83e-01    1.01e+00    1.0e-03
     18      3.01e+01    3.22e+01      1.89e-02    2.50e-02      9.52e-01    1.02e+00    1.0e-03
     20      3.05e+01    3.18e+01      8.55e-02    8.77e-02      9.66e-01    1.00e+00    1.0e-03
     22      2.98e+01    3.13e+01      1.60e-01    1.63e-01      9.44e-01    9.90e-01    1.0e-03
     24      2.98e+01    3.04e+01      2.18e-01    2.16e-01      9.43e-01    9.63e-01    1.0e-03
     26      2.95e+01    3.16e+01      2.53e-01    2.56e-01      9.32e-01    1.00e+00    1.0e-03
     28      2.94e+01    3.05e+01      2.79e-01    2.80e-01      9.31e-01    9.66e-01    1.0e-03
     30      2.89e+01    2.96e+01      2.91e-01    2.89e-01      9.13e-01    9.36e-01    1.0e-03
     32      2.88e+01    2.99e+01      2.80e-01    2.80e-01      9.09e-01    9.47e-01    1.0e-03
     34      2.90e+01    3.01e+01      2.55e-01    2.57e-01      9.18e-01    9.52e-01    1.0e-03
     36      2.86e+01    2.93e+01      1.36e-01    1.35e-01      9.03e-01    9.26e-01    1.0e-03
     38      2.86e+01    2.93e+01      4.54e-02    4.69e-02      9.05e-01    9.26e-01    1.0e-03
