Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -453.9358    -456.4915       2.5557   318.9
0.0500        -453.2681    -454.9165       1.6484   205.7
0.1000        -452.6951    -454.6339       1.9388   241.9
0.1500        -452.1501    -454.3343       2.1842   272.5
0.2000        -451.6661    -454.4106       2.7445   342.5
0.2500        -451.9026    -454.3352       2.4327   303.5
0.3000        -451.8689    -454.0179       2.1490   268.1
0.3500        -451.7206    -454.0247       2.3041   287.5
0.4000        -451.9276    -454.3400       2.4124   301.0
0.4500        -451.5121    -453.9317       2.4197   301.9
0.5000        -451.7446    -454.2344       2.4898   310.7
0.5500        -451.5144    -453.8037       2.2893   285.7
0.6000        -452.0833    -454.1605       2.0772   259.2
0.6500        -452.1649    -454.2844       2.1195   264.5
0.7000        -451.8328    -453.8582       2.0254   252.7
0.7500        -451.1722    -453.5891       2.4169   301.6
0.8000        -452.0458    -453.9033       1.8574   231.8
0.8500        -451.8247    -454.1295       2.3048   287.6
0.9000        -452.0398    -454.1175       2.0777   259.3
0.9500        -451.7296    -454.0901       2.3606   294.6
1.0000        -451.8051    -454.1829       2.3778   296.7
1.0500        -451.9291    -454.1000       2.1710   270.9
1.1000        -451.3805    -453.9175       2.5371   316.6
1.1500        -451.6255    -454.0538       2.4283   303.0
1.2000        -451.8831    -453.9515       2.0684   258.1
1.2500        -451.3834    -454.0772       2.6938   336.1
1.3000        -451.4479    -454.0221       2.5742   321.2
1.3500        -451.6307    -453.6424       2.0117   251.0
1.4000        -451.1756    -453.5744       2.3988   299.3
1.4500        -451.2459    -453.8279       2.5820   322.2
1.5000        -451.5470    -453.7888       2.2419   279.7
1.5500        -451.5397    -453.9867       2.4470   305.3
1.6000        -452.2293    -454.4725       2.2432   279.9
1.6500        -452.2601    -454.4896       2.2295   278.2
1.7000        -452.3553    -454.3329       1.9776   246.8
1.7500        -451.8956    -453.9864       2.0908   260.9
1.8000        -451.4238    -453.9890       2.5652   320.1
1.8500        -451.2281    -453.9733       2.7452   342.5
1.9000        -451.3414    -453.8064       2.4650   307.6
1.9500        -451.8205    -454.3375       2.5170   314.1
2.0000        -451.6828    -453.9454       2.2626   282.3
2.0500        -451.4016    -454.0169       2.6153   326.3
2.1000        -451.2457    -453.7098       2.4640   307.5
2.1500        -450.8041    -453.6106       2.8065   350.2
2.2000        -450.9910    -453.2324       2.2415   279.7
2.2500        -451.1197    -453.6578       2.5381   316.7
2.3000        -451.2302    -453.5678       2.3376   291.7
2.3500        -451.5798    -453.9172       2.3374   291.7
2.4000        -451.7459    -453.5828       1.8369   229.2
2.4500        -451.8922    -453.9049       2.0126   251.1
2.5000        -451.9100    -454.0892       2.1792   271.9
2.5500        -451.4729    -453.8164       2.3435   292.4
2.6000        -452.1423    -454.0902       1.9479   243.1
2.6500        -451.8276    -454.0632       2.2356   279.0
2.7000        -451.1786    -453.6973       2.5187   314.3
2.7500        -451.2551    -453.7767       2.5216   314.6
2.8000        -451.4703    -454.0029       2.5326   316.0
2.8500        -451.8637    -454.0857       2.2221   277.3
2.9000        -451.4818    -454.0172       2.5355   316.4
2.9500        -451.5613    -454.0853       2.5240   314.9
3.0000        -451.1955    -453.6692       2.4737   308.7
3.0500        -451.1036    -453.6008       2.4972   311.6
3.1000        -451.4727    -453.8467       2.3740   296.2
3.1500        -451.9270    -454.2687       2.3417   292.2
3.2000        -451.8318    -454.3279       2.4961   311.5
3.2500        -451.5966    -454.0039       2.4074   300.4
3.3000        -451.5885    -454.1327       2.5442   317.5
3.3500        -451.8193    -454.0878       2.2685   283.1
3.4000        -451.9561    -454.1887       2.2327   278.6
3.4500        -451.5886    -454.5313       2.9427   367.2
3.5000        -451.7263    -454.0519       2.3256   290.2
3.5500        -451.5936    -453.9855       2.3919   298.5
3.6000        -451.6341    -454.0522       2.4181   301.7
3.6500        -451.4367    -453.9575       2.5207   314.5
3.7000        -451.3981    -454.1359       2.7379   341.6
3.7500        -451.5843    -454.2437       2.6594   331.8
3.8000        -451.5176    -454.0250       2.5074   312.9
3.8500        -451.4955    -453.7808       2.2853   285.2
3.9000        -451.6200    -453.8715       2.2515   280.9
3.9500        -452.0237    -454.1957       2.1720   271.0
4.0000        -451.8201    -454.2761       2.4561   306.5
4.0500        -452.0064    -454.3373       2.3309   290.9
4.1000        -451.7653    -454.0104       2.2451   280.1
4.1500        -451.6758    -454.1548       2.4790   309.3
4.2000        -452.2542    -454.2270       1.9729   246.2
4.2500        -451.7529    -454.5616       2.8087   350.5
