#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   1140      4.92e+00    4.97e+00      3.21e-03    3.38e-03      1.56e-01    1.57e-01    1.0e-03
   1159      4.37e+00    5.01e+00      8.33e-03    7.10e-03      1.38e-01    1.59e-01    1.0e-03
   1178      4.79e+00    5.05e+00      2.12e-02    1.75e-02      1.52e-01    1.60e-01    1.0e-03
   1197      4.71e+00    4.97e+00      4.04e-02    4.20e-02      1.49e-01    1.57e-01    1.0e-03
   1216      5.54e+00    5.04e+00      1.22e-02    1.27e-02      1.75e-01    1.59e-01    1.0e-03
   1235      4.96e+00    5.01e+00      1.74e-02    1.63e-02      1.57e-01    1.58e-01    1.0e-03
   1254      4.59e+00    5.07e+00      2.06e-02    2.10e-02      1.45e-01    1.60e-01    1.0e-03
   1273      5.89e+00    5.71e+00      6.42e-02    6.28e-02      1.86e-01    1.81e-01    1.0e-03
   1292      4.44e+00    5.05e+00      9.59e-03    1.18e-02      1.40e-01    1.60e-01    1.0e-03
   1311      4.45e+00    4.94e+00      5.38e-03    5.26e-03      1.41e-01    1.56e-01    1.0e-03
   1330      5.33e+00    5.00e+00      1.43e-02    1.19e-02      1.69e-01    1.58e-01    1.0e-03
   1349      4.74e+00    5.06e+00      4.42e-02    4.23e-02      1.50e-01    1.60e-01    1.0e-03
   1368      4.05e+00    4.96e+00      5.70e-02    5.92e-02      1.28e-01    1.57e-01    1.0e-03
   1387      4.94e+00    4.92e+00      8.89e-03    5.51e-03      1.56e-01    1.56e-01    1.0e-03
   1406      4.40e+00    5.01e+00      1.98e-02    2.25e-02      1.39e-01    1.58e-01    1.0e-03
   1425      4.28e+00    4.78e+00      1.70e-02    1.95e-02      1.35e-01    1.51e-01    1.0e-03
   1444      4.75e+00    4.92e+00      5.45e-03    5.49e-03      1.50e-01    1.55e-01    1.0e-03
   1463      4.38e+00    4.91e+00      1.68e-02    1.49e-02      1.39e-01    1.55e-01    1.0e-03
   1482      5.85e+00    5.34e+00      4.25e-02    3.94e-02      1.85e-01    1.69e-01    1.0e-03
   1501      4.91e+00    5.14e+00      1.38e-02    1.72e-02      1.55e-01    1.63e-01    1.0e-03
   1520      4.86e+00    4.86e+00      2.59e-02    2.87e-02      1.54e-01    1.54e-01    1.0e-03
   1539      4.12e+00    4.85e+00      1.46e-02    1.66e-02      1.30e-01    1.54e-01    1.0e-03
   1558      4.80e+00    4.92e+00      9.01e-03    1.08e-02      1.52e-01    1.56e-01    1.0e-03
   1577      4.61e+00    5.09e+00      3.82e-02    3.93e-02      1.46e-01    1.61e-01    1.0e-03
   1596      5.31e+00    5.04e+00      1.32e-02    1.06e-02      1.68e-01    1.59e-01    1.0e-03
   1615      5.91e+00    5.87e+00      7.23e-02    7.52e-02      1.87e-01    1.86e-01    1.0e-03
   1634      4.55e+00    4.74e+00      2.03e-02    2.07e-02      1.44e-01    1.50e-01    1.0e-03
   1653      5.67e+00    5.24e+00      2.66e-02    2.62e-02      1.79e-01    1.66e-01    1.0e-03
   1672      4.66e+00    4.73e+00      2.75e-02    2.66e-02      1.47e-01    1.50e-01    1.0e-03
   1691      4.17e+00    4.86e+00      1.78e-02    1.66e-02      1.32e-01    1.54e-01    1.0e-03
   1710      4.23e+00    4.73e+00      6.42e-03    6.49e-03      1.34e-01    1.50e-01    1.0e-03
   1729      5.61e+00    5.41e+00      3.49e-02    3.65e-02      1.77e-01    1.71e-01    1.0e-03
   1748      3.91e+00    4.99e+00      2.52e-02    2.76e-02      1.24e-01    1.58e-01    1.0e-03
   1767      4.50e+00    4.68e+00      2.53e-02    2.68e-02      1.42e-01    1.48e-01    1.0e-03
   1786      4.16e+00    4.60e+00      4.64e-03    5.72e-03      1.31e-01    1.45e-01    1.0e-03
   1805      4.90e+00    5.13e+00      3.51e-02    3.58e-02      1.55e-01    1.62e-01    1.0e-03
   1824      5.14e+00    5.21e+00      6.67e-02    6.53e-02      1.62e-01    1.65e-01    1.0e-03
   1843      4.56e+00    4.66e+00      1.39e-03    1.43e-03      1.44e-01    1.47e-01    1.0e-03
   1862      4.79e+00    5.25e+00      5.29e-02    5.35e-02      1.51e-01    1.66e-01    1.0e-03
   1881      4.45e+00    4.76e+00      1.59e-02    1.62e-02      1.41e-01    1.50e-01    1.0e-03
   1900      4.60e+00    4.74e+00      1.06e-02    8.00e-03      1.46e-01    1.50e-01    1.0e-03
   1919      5.01e+00    5.58e+00      5.00e-02    4.75e-02      1.58e-01    1.76e-01    1.0e-03
   1938      4.18e+00    4.78e+00      1.24e-02    1.31e-02      1.32e-01    1.51e-01    1.0e-03
   1957      4.71e+00    4.81e+00      9.90e-03    9.46e-03      1.49e-01    1.52e-01    1.0e-03
   1976      4.53e+00    4.67e+00      2.44e-02    2.66e-02      1.43e-01    1.48e-01    1.0e-03
   1995      4.08e+00    4.50e+00      1.51e-03    1.45e-03      1.29e-01    1.42e-01    1.0e-03
   2014      3.79e+00    4.68e+00      3.56e-02    3.42e-02      1.20e-01    1.48e-01    1.0e-03
   2033      4.77e+00    5.27e+00      5.90e-02    5.97e-02      1.51e-01    1.67e-01    1.0e-03
   2052      4.20e+00    4.49e+00      1.98e-02    1.94e-02      1.33e-01    1.42e-01    1.0e-03
   2071      4.08e+00    4.49e+00      9.86e-03    1.04e-02      1.29e-01    1.42e-01    1.0e-03
   2090      4.41e+00    4.50e+00      4.36e-03    3.49e-03      1.40e-01    1.42e-01    1.0e-03
   2109      5.82e+00    5.45e+00      4.39e-02    4.05e-02      1.84e-01    1.72e-01    1.0e-03
   2128      4.41e+00    4.90e+00      9.94e-03    1.17e-02      1.39e-01    1.55e-01    1.0e-03
   2147      4.43e+00    4.68e+00      2.92e-02    2.85e-02      1.40e-01    1.48e-01    1.0e-03
   2166      4.96e+00    4.66e+00      2.21e-02    2.39e-02      1.57e-01    1.47e-01    1.0e-03
   2185      4.06e+00    4.46e+00      2.37e-02    2.42e-02      1.28e-01    1.41e-01    1.0e-03
   2204      4.43e+00    4.56e+00      2.14e-02    2.34e-02      1.40e-01    1.44e-01    1.0e-03
   2223      4.24e+00    4.36e+00      1.82e-02    2.09e-02      1.34e-01    1.38e-01    1.0e-03
   2242      5.85e+00    6.10e+00      8.24e-02    8.24e-02      1.85e-01    1.93e-01    1.0e-03
   2261      4.65e+00    4.92e+00      3.77e-03    5.62e-03      1.47e-01    1.56e-01    1.0e-03
   2280      4.81e+00    4.51e+00      7.12e-03    8.59e-03      1.52e-01    1.43e-01    1.0e-03
   2299      4.50e+00    4.43e+00      1.52e-02    1.52e-02      1.42e-01    1.40e-01    1.0e-03
   2318      4.18e+00    4.48e+00      1.58e-02    1.72e-02      1.32e-01    1.42e-01    1.0e-03
   2337      4.29e+00    5.02e+00      2.44e-02    2.39e-02      1.36e-01    1.59e-01    1.0e-03
   2356      4.97e+00    4.38e+00      6.69e-03    7.21e-03      1.57e-01    1.38e-01    1.0e-03
   2375      4.14e+00    4.57e+00      1.85e-02    1.89e-02      1.31e-01    1.45e-01    1.0e-03
   2394      4.19e+00    4.50e+00      2.06e-03    1.43e-03      1.33e-01    1.42e-01    1.0e-03
   2413      4.33e+00    4.35e+00      3.52e-02    3.62e-02      1.37e-01    1.38e-01    1.0e-03
   2432      5.49e+00    5.03e+00      4.97e-02    4.69e-02      1.74e-01    1.59e-01    1.0e-03
   2451      3.61e+00    4.42e+00      2.27e-02    2.45e-02      1.14e-01    1.40e-01    1.0e-03
   2470      4.23e+00    4.36e+00      4.71e-03    5.41e-03      1.34e-01    1.38e-01    1.0e-03
   2489      4.11e+00    4.38e+00      1.25e-02    1.17e-02      1.30e-01    1.38e-01    1.0e-03
