#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
    180      7.96e+00    7.90e+00      5.41e-02    5.00e-02      2.98e-01    2.96e-01    7.1e-04
    183      9.51e+00    7.89e+00      3.44e-03    4.23e-03      3.57e-01    2.96e-01    7.1e-04
    186      7.77e+00    7.72e+00      6.06e-03    4.85e-03      2.92e-01    2.90e-01    7.1e-04
    189      8.61e+00    7.71e+00      2.13e-03    3.18e-03      3.23e-01    2.89e-01    7.1e-04
    192      7.62e+00    7.58e+00      1.63e-03    3.90e-03      2.86e-01    2.84e-01    7.1e-04
    195      7.49e+00    7.32e+00      5.05e-03    6.68e-03      2.81e-01    2.75e-01    7.1e-04
    198      7.79e+00    7.49e+00      1.23e-02    7.80e-03      2.92e-01    2.81e-01    7.1e-04
    201      6.47e+00    6.26e+00      7.39e-03    8.31e-03      2.88e-01    2.79e-01    5.0e-04
    204      5.93e+00    6.34e+00      1.44e-02    1.08e-02      2.64e-01    2.82e-01    5.0e-04
    207      6.07e+00    6.20e+00      9.03e-03    9.86e-03      2.70e-01    2.76e-01    5.0e-04
    210      5.41e+00    6.12e+00      8.66e-03    1.09e-02      2.41e-01    2.72e-01    5.0e-04
    213      5.96e+00    6.10e+00      4.09e-02    4.04e-02      2.65e-01    2.71e-01    5.0e-04
    216      5.82e+00    6.06e+00      5.20e-02    5.15e-02      2.58e-01    2.69e-01    5.0e-04
    219      6.02e+00    6.10e+00      2.96e-02    2.89e-02      2.68e-01    2.71e-01    5.0e-04
    222      5.70e+00    6.06e+00      5.39e-03    3.98e-03      2.54e-01    2.69e-01    5.0e-04
    225      7.37e+00    6.01e+00      3.14e-02    3.01e-02      3.28e-01    2.67e-01    5.0e-04
    228      5.30e+00    6.14e+00      3.03e-02    2.75e-02      2.36e-01    2.73e-01    5.0e-04
    231      6.39e+00    6.02e+00      7.84e-03    8.34e-03      2.84e-01    2.68e-01    5.0e-04
    234      6.01e+00    6.01e+00      7.10e-03    1.14e-02      2.67e-01    2.67e-01    5.0e-04
    237      5.78e+00    5.89e+00      2.76e-03    2.48e-03      2.57e-01    2.62e-01    5.0e-04
    240      6.11e+00    5.93e+00      2.98e-02    3.22e-02      2.71e-01    2.64e-01    5.0e-04
    243      5.83e+00    5.89e+00      3.39e-02    3.37e-02      2.59e-01    2.62e-01    5.0e-04
    246      5.72e+00    5.84e+00      3.22e-03    3.79e-03      2.55e-01    2.60e-01    5.0e-04
    249      6.79e+00    5.95e+00      3.09e-03    3.89e-03      3.02e-01    2.65e-01    5.0e-04
    252      5.90e+00    5.75e+00      1.31e-02    1.52e-02      2.63e-01    2.56e-01    5.0e-04
    255      5.50e+00    5.80e+00      2.21e-02    2.37e-02      2.45e-01    2.58e-01    5.0e-04
    258      5.75e+00    5.80e+00      7.45e-03    6.66e-03      2.56e-01    2.58e-01    5.0e-04
    261      5.56e+00    5.74e+00      2.85e-02    2.55e-02      2.47e-01    2.55e-01    5.0e-04
    264      5.80e+00    5.75e+00      3.86e-03    2.53e-03      2.58e-01    2.56e-01    5.0e-04
    267      5.41e+00    5.81e+00      2.37e-03    5.76e-03      2.41e-01    2.59e-01    5.0e-04
    270      5.99e+00    5.73e+00      3.70e-03    4.98e-03      2.67e-01    2.55e-01    5.0e-04
    273      5.57e+00    5.60e+00      8.49e-04    3.31e-03      2.48e-01    2.49e-01    5.0e-04
    276      5.71e+00    5.65e+00      2.37e-02    2.43e-02      2.54e-01    2.51e-01    5.0e-04
    279      6.22e+00    5.76e+00      9.62e-03    1.40e-02      2.77e-01    2.56e-01    5.0e-04
    282      5.24e+00    5.62e+00      1.12e-02    1.14e-02      2.33e-01    2.50e-01    5.0e-04
    285      5.55e+00    5.73e+00      2.28e-03    5.63e-03      2.47e-01    2.55e-01    5.0e-04
    288      6.04e+00    5.54e+00      1.26e-02    1.34e-02      2.69e-01    2.46e-01    5.0e-04
    291      5.02e+00    5.54e+00      9.33e-03    1.17e-02      2.24e-01    2.47e-01    5.0e-04
    294      4.98e+00    5.48e+00      2.13e-02    2.46e-02      2.22e-01    2.44e-01    5.0e-04
    297      5.81e+00    5.49e+00      2.42e-02    2.88e-02      2.59e-01    2.44e-01    5.0e-04
    300      4.52e+00    4.59e+00      2.49e-02    2.26e-02      2.38e-01    2.42e-01    3.6e-04
    303      5.06e+00    4.54e+00      1.44e-02    1.89e-02      2.67e-01    2.39e-01    3.6e-04
    306      4.45e+00    4.57e+00      4.54e-03    4.57e-03      2.35e-01    2.41e-01    3.6e-04
    309      4.55e+00    4.59e+00      1.86e-03    1.75e-03      2.40e-01    2.42e-01    3.6e-04
    312      4.60e+00    4.54e+00      5.87e-03    3.28e-03      2.43e-01    2.40e-01    3.6e-04
    315      4.32e+00    4.50e+00      1.95e-03    3.48e-03      2.28e-01    2.37e-01    3.6e-04
    318      5.57e+00    4.61e+00      1.71e-03    1.69e-03      2.94e-01    2.43e-01    3.6e-04
    321      4.46e+00    4.49e+00      7.93e-03    7.74e-03      2.36e-01    2.37e-01    3.6e-04
    324      4.28e+00    4.57e+00      9.35e-03    1.23e-02      2.26e-01    2.41e-01    3.6e-04
