#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.64e+01    3.46e+01      4.36e-01    4.28e-01      1.15e+00    1.09e+00    1.0e-03
     19      2.94e+01    3.07e+01      1.46e-02    1.33e-02      9.30e-01    9.70e-01    1.0e-03
     38      2.45e+01    2.89e+01      1.04e-01    1.12e-01      7.75e-01    9.15e-01    1.0e-03
     57      2.61e+01    2.70e+01      2.01e-01    2.07e-01      8.25e-01    8.54e-01    1.0e-03
     76      2.18e+01    2.49e+01      1.02e-01    9.70e-02      6.88e-01    7.89e-01    1.0e-03
     95      2.17e+01    2.18e+01      1.24e-01    1.11e-01      6.85e-01    6.90e-01    1.0e-03
    114      1.71e+01    1.64e+01      1.15e-02    2.04e-02      5.40e-01    5.19e-01    1.0e-03
    133      1.21e+01    1.35e+01      2.98e-01    3.05e-01      3.82e-01    4.26e-01    1.0e-03
    152      1.12e+01    1.10e+01      4.97e-02    5.71e-02      3.54e-01    3.49e-01    1.0e-03
    171      1.11e+01    1.06e+01      1.20e-01    1.18e-01      3.52e-01    3.35e-01    1.0e-03
    190      8.61e+00    9.19e+00      1.59e-01    1.58e-01      2.72e-01    2.91e-01    1.0e-03
    209      8.88e+00    9.04e+00      9.02e-02    8.69e-02      2.81e-01    2.86e-01    1.0e-03
    228      8.11e+00    8.55e+00      1.11e-01    1.16e-01      2.57e-01    2.70e-01    1.0e-03
    247      8.64e+00    8.67e+00      1.14e-01    1.17e-01      2.73e-01    2.74e-01    1.0e-03
    266      8.36e+00    8.36e+00      6.13e-02    5.52e-02      2.64e-01    2.64e-01    1.0e-03
    285      7.71e+00    8.19e+00      1.23e-01    1.25e-01      2.44e-01    2.59e-01    1.0e-03
    304      7.96e+00    8.03e+00      4.86e-04    4.46e-03      2.52e-01    2.54e-01    1.0e-03
    323      7.35e+00    7.33e+00      1.38e-02    9.61e-03      2.33e-01    2.32e-01    1.0e-03
    342      6.25e+00    7.32e+00      8.63e-03    1.28e-02      1.98e-01    2.32e-01    1.0e-03
    361      6.60e+00    6.98e+00      2.34e-03    4.44e-03      2.09e-01    2.21e-01    1.0e-03
    380      7.02e+00    7.20e+00      2.53e-02    2.54e-02      2.22e-01    2.28e-01    1.0e-03
    399      7.57e+00    6.90e+00      1.80e-02    1.45e-02      2.39e-01    2.18e-01    1.0e-03
    418      6.88e+00    6.79e+00      3.67e-02    3.75e-02      2.17e-01    2.15e-01    1.0e-03
    437      6.60e+00    6.70e+00      6.08e-02    6.68e-02      2.09e-01    2.12e-01    1.0e-03
    456      6.08e+00    6.43e+00      1.62e-03    2.84e-03      1.92e-01    2.03e-01    1.0e-03
    475      5.75e+00    6.37e+00      3.85e-02    3.86e-02      1.82e-01    2.01e-01    1.0e-03
    494      5.77e+00    6.24e+00      2.01e-02    1.68e-02      1.83e-01    1.97e-01    1.0e-03
    513      6.45e+00    6.34e+00      3.68e-02    3.75e-02      2.04e-01    2.01e-01    1.0e-03
    532      5.22e+00    5.91e+00      4.16e-02    4.19e-02      1.65e-01    1.87e-01    1.0e-03
    551      6.52e+00    5.97e+00      7.19e-02    7.05e-02      2.06e-01    1.89e-01    1.0e-03
    570      5.69e+00    5.57e+00      1.66e-02    1.56e-02      1.80e-01    1.76e-01    1.0e-03
    589      5.44e+00    5.85e+00      1.37e-02    1.35e-02      1.72e-01    1.85e-01    1.0e-03
    608      5.53e+00    6.04e+00      3.03e-03    2.43e-03      1.75e-01    1.91e-01    1.0e-03
    627      6.14e+00    5.94e+00      6.00e-02    6.00e-02      1.94e-01    1.88e-01    1.0e-03
    646      6.12e+00    5.92e+00      2.47e-02    2.28e-02      1.94e-01    1.87e-01    1.0e-03
    665      5.45e+00    5.59e+00      4.09e-02    4.11e-02      1.72e-01    1.77e-01    1.0e-03
    684      6.01e+00    6.07e+00      5.84e-02    5.61e-02      1.90e-01    1.92e-01    1.0e-03
    703      5.57e+00    5.64e+00      3.00e-03    5.11e-03      1.76e-01    1.78e-01    1.0e-03
    722      4.83e+00    5.64e+00      1.40e-02    1.44e-02      1.53e-01    1.78e-01    1.0e-03
    741      5.35e+00    5.42e+00      1.13e-02    1.09e-02      1.69e-01    1.71e-01    1.0e-03
    760      4.86e+00    5.53e+00      3.52e-02    3.54e-02      1.54e-01    1.75e-01    1.0e-03
    779      6.15e+00    5.12e+00      3.09e-02    3.06e-02      1.94e-01    1.62e-01    1.0e-03
    798      5.19e+00    5.28e+00      6.69e-03    7.62e-03      1.64e-01    1.67e-01    1.0e-03
    817      5.31e+00    5.08e+00      3.22e-02    3.25e-02      1.68e-01    1.61e-01    1.0e-03
    836      4.86e+00    5.19e+00      5.76e-02    5.73e-02      1.54e-01    1.64e-01    1.0e-03
    855      5.05e+00    5.53e+00      4.79e-02    4.63e-02      1.60e-01    1.75e-01    1.0e-03
    874      4.93e+00    5.15e+00      2.02e-02    2.07e-02      1.56e-01    1.63e-01    1.0e-03
    893      5.13e+00    5.59e+00      1.97e-02    1.92e-02      1.62e-01    1.77e-01    1.0e-03
    912      4.86e+00    5.28e+00      5.54e-02    5.54e-02      1.54e-01    1.67e-01    1.0e-03
    931      5.54e+00    5.19e+00      3.41e-02    3.39e-02      1.75e-01    1.64e-01    1.0e-03
    950      5.11e+00    5.34e+00      9.32e-02    9.43e-02      1.61e-01    1.69e-01    1.0e-03
    969      4.78e+00    5.20e+00      8.98e-03    1.05e-02      1.51e-01    1.64e-01    1.0e-03
    988      5.54e+00    5.86e+00      5.46e-02    5.53e-02      1.75e-01    1.85e-01    1.0e-03
   1007      4.89e+00    5.01e+00      1.33e-03    3.59e-03      1.55e-01    1.58e-01    1.0e-03
   1026      4.83e+00    5.04e+00      1.77e-02    1.68e-02      1.53e-01    1.59e-01    1.0e-03
   1045      5.06e+00    4.92e+00      1.22e-02    9.15e-03      1.60e-01    1.56e-01    1.0e-03
   1064      4.83e+00    5.11e+00      3.27e-03    3.79e-03      1.53e-01    1.62e-01    1.0e-03
   1083      4.47e+00    4.90e+00      1.19e-02    1.27e-02      1.41e-01    1.55e-01    1.0e-03
   1102      5.36e+00    4.90e+00      2.11e-02    2.00e-02      1.69e-01    1.55e-01    1.0e-03
   1121      5.24e+00    5.03e+00      2.41e-02    2.30e-02      1.66e-01    1.59e-01    1.0e-03
   1140      5.08e+00    5.39e+00      2.32e-02    2.11e-02      1.61e-01    1.70e-01    1.0e-03
   1159      6.03e+00    5.24e+00      5.86e-02    5.75e-02      1.91e-01    1.66e-01    1.0e-03
   1178      4.21e+00    4.71e+00      1.43e-02    1.39e-02      1.33e-01    1.49e-01    1.0e-03
   1197      5.00e+00    5.48e+00      3.18e-03    3.59e-03      1.58e-01    1.73e-01    1.0e-03
   1216      3.88e+00    4.91e+00      2.30e-02    2.28e-02      1.23e-01    1.55e-01    1.0e-03
   1235      4.70e+00    5.32e+00      4.11e-03    3.13e-03      1.49e-01    1.68e-01    1.0e-03
   1254      5.24e+00    5.13e+00      1.14e-02    9.03e-03      1.66e-01    1.62e-01    1.0e-03
   1273      4.47e+00    4.82e+00      5.18e-02    5.02e-02      1.41e-01    1.52e-01    1.0e-03
   1292      4.94e+00    5.24e+00      1.04e-01    1.02e-01      1.56e-01    1.66e-01    1.0e-03
   1311      4.65e+00    5.10e+00      3.87e-02    3.87e-02      1.47e-01    1.61e-01    1.0e-03
   1330      5.05e+00    5.31e+00      2.37e-02    2.31e-02      1.60e-01    1.68e-01    1.0e-03
   1349      4.77e+00    4.96e+00      1.02e-03    2.21e-03      1.51e-01    1.57e-01    1.0e-03
   1368      5.01e+00    4.50e+00      5.94e-02    5.70e-02      1.58e-01    1.42e-01    1.0e-03
   1387      5.24e+00    4.83e+00      8.84e-03    8.37e-03      1.66e-01    1.53e-01    1.0e-03
   1406      5.08e+00    5.19e+00      2.41e-02    2.34e-02      1.60e-01    1.64e-01    1.0e-03
   1425      4.74e+00    5.06e+00      2.20e-02    2.28e-02      1.50e-01    1.60e-01    1.0e-03
   1444      5.54e+00    5.12e+00      7.84e-02    8.04e-02      1.75e-01    1.62e-01    1.0e-03
   1463      4.04e+00    4.77e+00      4.81e-02    4.49e-02      1.28e-01    1.51e-01    1.0e-03
   1482      4.44e+00    4.70e+00      4.25e-02    4.20e-02      1.40e-01    1.49e-01    1.0e-03
   1501      4.74e+00    4.58e+00      1.27e-02    1.49e-02      1.50e-01    1.45e-01    1.0e-03
   1520      5.27e+00    4.58e+00      2.34e-03    2.87e-03      1.67e-01    1.45e-01    1.0e-03
   1539      4.78e+00    4.37e+00      3.76e-02    3.66e-02      1.51e-01    1.38e-01    1.0e-03
   1558      4.17e+00    4.77e+00      2.17e-02    2.13e-02      1.32e-01    1.51e-01    1.0e-03
   1577      4.30e+00    4.46e+00      5.25e-03    5.44e-03      1.36e-01    1.41e-01    1.0e-03
   1596      4.36e+00    4.70e+00      2.57e-02    2.30e-02      1.38e-01    1.49e-01    1.0e-03
   1615      4.39e+00    4.86e+00      4.26e-02    4.25e-02      1.39e-01    1.54e-01    1.0e-03
   1634      4.66e+00    4.97e+00      2.52e-02    2.61e-02      1.47e-01    1.57e-01    1.0e-03
   1653      5.06e+00    4.47e+00      2.30e-02    2.18e-02      1.60e-01    1.41e-01    1.0e-03
   1672      4.79e+00    4.44e+00      1.82e-03    2.07e-03      1.51e-01    1.40e-01    1.0e-03
   1691      4.17e+00    4.83e+00      2.42e-02    2.33e-02      1.32e-01    1.53e-01    1.0e-03
   1710      3.87e+00    4.51e+00      3.71e-02    3.61e-02      1.22e-01    1.43e-01    1.0e-03
   1729      6.27e+00    4.95e+00      5.23e-02    5.18e-02      1.98e-01    1.57e-01    1.0e-03
   1748      4.26e+00    4.62e+00      6.60e-02    6.76e-02      1.35e-01    1.46e-01    1.0e-03
   1767      4.27e+00    4.43e+00      2.65e-02    2.80e-02      1.35e-01    1.40e-01    1.0e-03
   1786      3.92e+00    4.71e+00      1.10e-03    2.31e-03      1.24e-01    1.49e-01    1.0e-03
   1805      4.29e+00    4.46e+00      9.92e-03    1.08e-02      1.36e-01    1.41e-01    1.0e-03
   1824      4.45e+00    4.37e+00      2.40e-02    2.46e-02      1.41e-01    1.38e-01    1.0e-03
   1843      4.22e+00    4.45e+00      2.43e-03    4.05e-03      1.34e-01    1.41e-01    1.0e-03
   1862      4.48e+00    4.58e+00      1.73e-02    1.70e-02      1.42e-01    1.45e-01    1.0e-03
   1881      4.95e+00    5.31e+00      2.55e-02    2.56e-02      1.56e-01    1.68e-01    1.0e-03
   1900      4.47e+00    4.55e+00      6.15e-02    6.15e-02      1.41e-01    1.44e-01    1.0e-03
   1919      4.66e+00    4.48e+00      3.66e-02    3.62e-02      1.47e-01    1.42e-01    1.0e-03
   1938      3.66e+00    4.22e+00      2.57e-02    2.55e-02      1.16e-01    1.33e-01    1.0e-03
