#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.43e+01    3.29e+01      2.49e-01    2.46e-01      1.08e+00    1.04e+00    1.0e-03
      2      3.25e+01    3.27e+01      1.31e-01    1.30e-01      1.03e+00    1.03e+00    1.0e-03
      4      3.34e+01    3.22e+01      5.07e-02    4.77e-02      1.06e+00    1.02e+00    1.0e-03
      6      3.17e+01    3.17e+01      7.35e-03    8.23e-03      1.00e+00    1.00e+00    1.0e-03
      8      3.11e+01    3.13e+01      2.93e-02    2.87e-02      9.85e-01    9.90e-01    1.0e-03
     10      3.10e+01    3.01e+01      2.65e-02    3.05e-02      9.81e-01    9.51e-01    1.0e-03
     12      2.97e+01    2.94e+01      1.27e-02    1.21e-02      9.38e-01    9.30e-01    1.0e-03
     14      2.88e+01    2.84e+01      1.83e-02    1.68e-02      9.12e-01    8.98e-01    1.0e-03
     16      2.80e+01    2.68e+01      5.46e-02    5.16e-02      8.84e-01    8.47e-01    1.0e-03
     18      2.68e+01    2.62e+01      1.05e-01    1.05e-01      8.47e-01    8.30e-01    1.0e-03
     20      2.63e+01    2.61e+01      2.04e-01    2.04e-01      8.31e-01    8.27e-01    1.0e-03
     22      2.66e+01    2.58e+01      3.90e-01    3.87e-01      8.42e-01    8.16e-01    1.0e-03
     24      2.62e+01    2.54e+01      6.15e-01    6.14e-01      8.28e-01    8.03e-01    1.0e-03
     26      2.53e+01    2.44e+01      8.10e-01    8.10e-01      8.01e-01    7.72e-01    1.0e-03
     28      2.52e+01    2.43e+01      9.28e-01    9.27e-01      7.96e-01    7.68e-01    1.0e-03
     30      2.52e+01    2.46e+01      9.43e-01    9.42e-01      7.96e-01    7.78e-01    1.0e-03
     32      2.49e+01    2.41e+01      8.95e-01    8.95e-01      7.88e-01    7.62e-01    1.0e-03
     34      2.48e+01    2.43e+01      8.08e-01    8.07e-01      7.84e-01    7.67e-01    1.0e-03
     36      2.44e+01    2.39e+01      6.76e-01    6.76e-01      7.72e-01    7.56e-01    1.0e-03
     38      2.45e+01    2.35e+01      5.58e-01    5.56e-01      7.75e-01    7.42e-01    1.0e-03
     40      2.45e+01    2.33e+01      4.76e-01    4.74e-01      7.74e-01    7.37e-01    1.0e-03
     42      2.36e+01    2.35e+01      4.42e-01    4.42e-01      7.46e-01    7.44e-01    1.0e-03
     44      2.37e+01    2.29e+01      4.58e-01    4.56e-01      7.48e-01    7.25e-01    1.0e-03
     46      2.36e+01    2.31e+01      4.57e-01    4.56e-01      7.47e-01    7.31e-01    1.0e-03
     48      2.30e+01    2.27e+01      4.05e-01    4.05e-01      7.26e-01    7.16e-01    1.0e-03
     50      2.37e+01    2.25e+01      3.28e-01    3.26e-01      7.49e-01    7.13e-01    1.0e-03
     52      2.33e+01    2.25e+01      2.73e-01    2.72e-01      7.37e-01    7.12e-01    1.0e-03
     54      2.23e+01    2.19e+01      2.39e-01    2.39e-01      7.06e-01    6.94e-01    1.0e-03
     56      2.24e+01    2.21e+01      2.10e-01    2.09e-01      7.08e-01    6.97e-01    1.0e-03
     58      2.26e+01    2.20e+01      1.88e-01    1.87e-01      7.15e-01    6.94e-01    1.0e-03
     60      2.23e+01    2.16e+01      1.51e-01    1.49e-01      7.05e-01    6.82e-01    1.0e-03
     62      2.23e+01    2.16e+01      1.30e-01    1.29e-01      7.04e-01    6.82e-01    1.0e-03
     64      2.24e+01    2.13e+01      1.36e-01    1.35e-01      7.08e-01    6.72e-01    1.0e-03
     66      2.18e+01    2.13e+01      1.15e-01    1.14e-01      6.90e-01    6.75e-01    1.0e-03
     68      2.24e+01    2.09e+01      1.16e-01    1.14e-01      7.08e-01    6.60e-01    1.0e-03
     70      2.09e+01    2.10e+01      9.86e-02    9.96e-02      6.62e-01    6.65e-01    1.0e-03
     72      2.14e+01    2.08e+01      1.33e-01    1.32e-01      6.76e-01    6.59e-01    1.0e-03
     74      2.10e+01    2.04e+01      1.64e-01    1.64e-01      6.63e-01    6.46e-01    1.0e-03
     76      2.07e+01    2.02e+01      2.00e-01    2.00e-01      6.56e-01    6.40e-01    1.0e-03
     78      2.08e+01    1.97e+01      2.28e-01    2.26e-01      6.57e-01    6.22e-01    1.0e-03
     80      2.03e+01    1.94e+01      2.59e-01    2.59e-01      6.42e-01    6.15e-01    1.0e-03
     82      2.01e+01    1.91e+01      2.80e-01    2.77e-01      6.37e-01    6.03e-01    1.0e-03
     84      1.97e+01    1.90e+01      3.06e-01    3.06e-01      6.24e-01    6.01e-01    1.0e-03
     86      1.95e+01    1.87e+01      3.41e-01    3.38e-01      6.15e-01    5.92e-01    1.0e-03
     88      1.93e+01    1.86e+01      4.22e-01    4.21e-01      6.10e-01    5.89e-01    1.0e-03
     90      1.94e+01    1.83e+01      4.11e-01    4.09e-01      6.13e-01    5.78e-01    1.0e-03
     92      1.92e+01    1.82e+01      3.72e-01    3.71e-01      6.07e-01    5.76e-01    1.0e-03
     94      1.84e+01    1.76e+01      2.84e-01    2.82e-01      5.81e-01    5.55e-01    1.0e-03
     96      1.83e+01    1.71e+01      3.09e-01    3.06e-01      5.79e-01    5.42e-01    1.0e-03
     98      1.76e+01    1.70e+01      3.61e-01    3.61e-01      5.56e-01    5.39e-01    1.0e-03
    100      1.37e+01    1.29e+01      3.33e-01    3.31e-01      5.55e-01    5.23e-01    6.0e-04
    102      1.31e+01    1.28e+01      8.92e-02    8.83e-02      5.33e-01    5.22e-01    6.0e-04
    104      1.32e+01    1.25e+01      1.52e-01    1.54e-01      5.39e-01    5.08e-01    6.0e-04
    106      1.27e+01    1.25e+01      6.59e-02    6.65e-02      5.19e-01    5.11e-01    6.0e-04
    108      1.25e+01    1.20e+01      9.48e-02    9.27e-02      5.11e-01    4.92e-01    6.0e-04
    110      1.24e+01    1.19e+01      1.16e-01    1.16e-01      5.05e-01    4.84e-01    6.0e-04
    112      1.22e+01    1.15e+01      1.36e-02    1.59e-02      4.98e-01    4.72e-01    6.0e-04
    114      1.19e+01    1.16e+01      5.90e-02    5.92e-02      4.84e-01    4.74e-01    6.0e-04
    116      1.16e+01    1.12e+01      1.97e-02    2.04e-02      4.72e-01    4.58e-01    6.0e-04
    118      1.14e+01    1.09e+01      5.93e-02    5.67e-02      4.67e-01    4.45e-01    6.0e-04
    120      1.11e+01    1.09e+01      6.39e-03    7.24e-03      4.54e-01    4.45e-01    6.0e-04
    122      1.08e+01    1.03e+01      3.00e-02    3.09e-02      4.42e-01    4.22e-01    6.0e-04
    124      1.06e+01    1.03e+01      4.42e-03    3.84e-03      4.32e-01    4.21e-01    6.0e-04
    126      1.04e+01    1.02e+01      3.61e-02    3.50e-02      4.25e-01    4.17e-01    6.0e-04
    128      1.01e+01    1.01e+01      2.80e-02    2.75e-02      4.11e-01    4.11e-01    6.0e-04
    130      1.01e+01    9.82e+00      1.95e-02    2.12e-02      4.13e-01    4.01e-01    6.0e-04
    132      9.75e+00    9.55e+00      3.85e-03    4.43e-03      3.98e-01    3.90e-01    6.0e-04
    134      9.71e+00    9.40e+00      4.61e-02    4.45e-02      3.96e-01    3.84e-01    6.0e-04
    136      9.73e+00    9.28e+00      1.89e-02    1.70e-02      3.97e-01    3.79e-01    6.0e-04
    138      9.18e+00    9.26e+00      1.79e-02    1.89e-02      3.75e-01    3.78e-01    6.0e-04
    140      9.06e+00    9.15e+00      2.50e-02    2.45e-02      3.70e-01    3.74e-01    6.0e-04
    142      9.31e+00    8.89e+00      3.76e-02    3.54e-02      3.80e-01    3.63e-01    6.0e-04
    144      9.24e+00    8.87e+00      4.88e-02    4.91e-02      3.77e-01    3.62e-01    6.0e-04
    146      8.81e+00    8.63e+00      4.18e-03    4.09e-03      3.60e-01    3.53e-01    6.0e-04
    148      9.01e+00    8.60e+00      5.31e-02    5.13e-02      3.68e-01    3.51e-01    6.0e-04
    150      8.59e+00    8.56e+00      1.21e-02    1.35e-02      3.51e-01    3.50e-01    6.0e-04
    152      8.54e+00    8.53e+00      2.64e-02    2.71e-02      3.49e-01    3.48e-01    6.0e-04
    154      8.60e+00    8.51e+00      3.22e-02    3.13e-02      3.51e-01    3.48e-01    6.0e-04
    156      8.53e+00    8.42e+00      6.75e-03    5.98e-03      3.48e-01    3.44e-01    6.0e-04
    158      8.27e+00    8.17e+00      4.42e-02    4.52e-02      3.38e-01    3.33e-01    6.0e-04
    160      8.22e+00    8.19e+00      4.68e-03    3.27e-03      3.36e-01    3.35e-01    6.0e-04
    162      8.31e+00    8.08e+00      1.15e-02    1.07e-02      3.39e-01    3.30e-01    6.0e-04
    164      8.03e+00    8.02e+00      2.14e-02    2.24e-02      3.28e-01    3.28e-01    6.0e-04
    166      8.13e+00    8.01e+00      1.62e-02    1.69e-02      3.32e-01    3.27e-01    6.0e-04
    168      7.94e+00    8.02e+00      2.33e-02    2.23e-02      3.24e-01    3.28e-01    6.0e-04
    170      7.95e+00    7.80e+00      1.56e-02    1.56e-02      3.25e-01    3.19e-01    6.0e-04
    172      7.65e+00    7.66e+00      4.46e-03    3.65e-03      3.12e-01    3.13e-01    6.0e-04
    174      7.96e+00    7.87e+00      1.65e-02    1.61e-02      3.25e-01    3.21e-01    6.0e-04
    176      7.73e+00    7.71e+00      3.29e-02    3.22e-02      3.16e-01    3.15e-01    6.0e-04
    178      8.10e+00    8.00e+00      1.17e-01    1.17e-01      3.30e-01    3.26e-01    6.0e-04
    180      7.72e+00    7.73e+00      5.46e-03    6.41e-03      3.15e-01    3.16e-01    6.0e-04
    182      7.61e+00    7.57e+00      2.98e-02    2.95e-02      3.11e-01    3.09e-01    6.0e-04
    184      7.54e+00    7.24e+00      3.66e-02    3.49e-02      3.08e-01    2.96e-01    6.0e-04
    186      7.62e+00    7.49e+00      6.59e-02    6.60e-02      3.11e-01    3.06e-01    6.0e-04
    188      7.64e+00    7.43e+00      5.54e-02    5.27e-02      3.12e-01    3.03e-01    6.0e-04
